"(STOCKTON HO) CODFORD ST MARY",,,,,,,,,,,,
Grid ref,ST976387,Long,-2.035690,Lat,51.147556,,,,,,,
Station no,RR4540,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.79,1.99,1.23,,
February,,,,,,,,1.84,1.92,0.79,,
March,,,,,,,,0.67,3.82,4.67,,
April,,,,,,,,3.59,2.90,1.88,,
May,,,,,,,,3.28,2.06,1.28,,
June,,,,,,,,1.89,0.43,4.39,,
July,,,,,,,0.69,1.87,2.35,3.08,,
August,,,,,,,1.60,1.97,3.23,2.81,,
September,,,,,,,0.96,0.42,2.48,4.11,,
October,,,,,,,6.76,7.24,1.62,6.70,,
November,,,,,,,4.04,3.28,1.12,0.91,,
December,,,,,,,1.97,4.83,2.88,5.06,,
Total,,,,,,,,31.67,26.80,36.91,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,16.02,31.67,26.80,36.91,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
