NUNEATON (BEDWORTH W.W),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP354866,Long,-1.480239,Lat,52.476188,Elevation,346,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2468/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.99,3.7,2.63,4.96,2.78,3.67,3.12,4.62,2.9,2.25,1.81,2.05,4.55,1.28,0.47,2.44,2.08,0.9,0.78,1.65,3.39,1.24,2.72,2.76,4.17
February,,,,,,2.29,3.57,0.63,1.53,2.62,2.44,1.04,1.07,1.38,2.26,2.39,1.26,1.14,0.79,4.58,2.94,0.56,1.35,2.32,1.71,0.41,2.39,3.23,0.06,1.67
March,,,,,,1.85,3.14,0.22,1.62,1.75,2.42,1.91,0.94,0.29,0.78,0.84,6.48,1.06,1.68,1.24,3.68,2.46,1.33,2.25,2.45,0.55,2.38,1.5,1.57,1.16
April,,,,,,2.08,3.22,0.04,1.68,2.59,1.15,1.75,0.79,2.93,0.77,2.28,2.38,1.32,1.98,1.98,1.89,2.22,1.9,0.45,0.98,0.53,0.2,0.92,2.97,0.95
May,,,,,,0.76,3.26,1.77,1.5,1.19,2.71,3.77,2.85,1.1,4.75,2.45,1.8,2.86,3.11,1.75,3.69,3.36,1.28,2.32,3.86,0.57,1.54,2.17,0.51,1.09
June,,,,,,8.21,1.04,1.9,1.5,0.44,1.17,0.91,2.07,1.97,2.95,2.68,1.96,2.61,0.39,1.72,1.26,2.03,2.52,2.3,2.38,2.66,1.28,4.85,0.54,4.19
July,,,,,,7.08,2.48,3.05,4.54,3.66,4.21,1.64,1.02,2.61,1.92,2.35,2.42,1.49,2.82,2.79,1.23,0.31,3.36,2.8,1.56,2.24,3.25,5.45,1.02,3.13
August,,,,,,0.4,0.99,3.35,3.11,0.17,3.58,2.66,1.57,2.75,1.43,4.23,0.26,4.91,1.33,3.47,6.31,3.96,2.16,3.76,0.68,3.81,2.75,1.73,1.28,2.28
September,,,,,,3.01,1.24,1.55,1.48,0.96,0.46,0.9,2.09,3.83,1.34,3.42,1.29,3.14,1.7,3.74,1.43,1.58,1.67,1.64,1.62,1.5,4.43,2.86,0.06,4.17
October,,,,,,1.69,2.48,2.86,5.1,4.56,2.21,2.87,2.46,3.04,3.4,1,0.29,3.18,5.57,0.61,0.86,3.72,3.05,3.36,1.87,1.36,1.12,2.49,2.37,5.09
November,,,,,,2.37,1.6,2.75,5.28,6.55,2.55,2.14,1.65,4.06,0.17,5.47,1.91,1.38,3.05,3.81,6.16,1.97,0.89,4.95,1.94,0.76,1.45,2.04,2.91,4.13
December,,,,,,2.17,2.07,3.67,1.6,1.93,1.29,2.85,1.02,1.71,2.74,3.3,1.81,3.48,1.29,1.32,2,2.25,0.67,1.49,1.75,2.13,2.53,2.77,3.54,3.53
Total,,,,,,34.9,28.79,24.42,33.9,29.2,27.86,25.56,22.15,28.57,24.76,32.22,23.91,31.12,24.99,27.48,33.89,26.5,21.08,28.42,22.45,19.91,24.56,32.73,19.59,35.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157,BEDWORTH W WKS ,01/01/1936,31/12/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,
