SOUTHILL SCHOOL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1173,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.37,1.24,1.35,,,,,,,,,
February,1.92,0.20,0.84,,,,,,,,,
March,0.34,1.61,2.77,,,,,,,,,
April,3.27,3.05,0.75,,,,,,,,,
May,2.46,4.36,3.02,,,,,,,,,
June,1.67,0.68,,,,,,,,,,
July,3.76,2.25,,,,,,,,,,
August,4.52,3.96,,,,,,,,,,
September,2.21,2.28,,,,,,,,,,
October,0.69,3.88,,,,,,,,,,
November,2.37,1.63,,,,,,,,,,
December,0.64,0.64,,,,,,,,,,
Total,25.22,25.78,,,,,,,,,,
Calc annual,25.22,25.78,8.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
