SOUTHILL-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL149421,Long,-0.32526794,Lat,52.065366,Elevation,145,ft,,,,,,,,,,,,,
Station no,1173,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.89,2.24,1.37,1.24,1.35,,,,,,,
February,,,,,,,,,,0.87,0.49,1.92,0.2,0.84,,,,,,,
March,,,,,,,,,,0.11,2.22,0.34,1.61,2.77,,,,,,,
April,,,,,,,,,,1.59,1.92,3.27,3.05,0.75,,,,,,,
May,,,,,,,,,,1.78,2.7,2.46,4.36,3.02,,,,,,,
June,,,,,,,,,,0.96,0.4,1.67,0.68,,,,,,,,
July,,,,,,,,,,1.41,2.02,3.76,2.25,,,,,,,,
August,,,,,,,,,,0.99,2.17,4.52,3.96,,,,,,,,
September,,,,,,,,,,0.18,2.16,2.21,2.28,,,,,,,,
October,,,,,,,,,,3.32,1.26,0.69,3.88,,,,,,,,
November,,,,,,,,,,5.2,2.89,2.37,1.63,,,,,,,,
December,,,,,,,,,,3.61,1.76,0.64,0.64,,,,,,,,
Total,,,,,,,,,,21.91,22.23,25.22,25.78,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Note on TYR states: Jun 1933 Gauge accidentally smashed.,,,,,,,,,,,,,,,,,,,,,
