NORWICH-MARLINGFORD-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG127081,Long,1.141418,Lat,52.628959,Elevation,83,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.21,5.22,1.69,2.55,1.15,2.87,2.41,4.07,2.15,1.64,2.43,1.04,1.06,1.72,3.59,2.82,4.41,2.38,5.06,1.66,2.05,2.73,3.72,2.11,2.18,1.62,1.8,3.59,0.92,1.18,3.05,2.82,1.16,1.63,1.67,3.07,1.94,2.38,3.12,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0.29,2.86,3.6,1.61,2.04,1.8,2.49,1.65,0.43,1.23,2.19,1.09,2.67,0.89,2.57,2.81,3.44,1.1,0.81,1.34,2.26,1.35,0.72,1.5,1.56,3.44,1.88,0.92,0.89,3.23,2.81,0.97,1.53,2.17,2.4,1.77,2.31,3.91,0.18,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.03,1.99,1.71,0.85,1.87,0.48,2.3,1.61,0.14,1.51,0.38,2.03,2.31,1.5,0.68,0.38,3.52,0.36,2.15,2.87,3.02,1.66,0.88,0.89,1.67,0.96,4.46,0.63,1.31,0.32,3.06,2.4,0.63,2.02,1.68,0.83,1.97,1.28,1.48,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.33,2.78,1.03,2.14,2.46,3.21,1.98,1.51,0.84,2.35,4.34,3.88,1.14,3.05,3.12,1.41,3.07,0.55,2.73,1.25,0.75,0.75,0.79,2.03,1.84,0.64,1.71,1.18,1.71,2.07,3.05,1.47,1.94,0.55,0.43,0.86,0.31,1.01,1.56,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.22,0.82,1.49,4.03,2.72,1.85,0.55,1.78,0.9,2.91,4.24,5.13,1.6,1.92,1.32,0.93,2.57,1.75,0.63,1.86,1.89,2.72,1.8,0.98,2.54,1.47,0.56,2.48,2.12,1.55,1.81,1.37,1.17,1.87,2.21,0.78,1.85,3.08,0.38,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,0.23,1.52,0.84,2.94,0.67,2.81,5.14,3.66,1.25,1.07,1.68,0.12,2.31,1.96,2.52,4.58,1.61,1.24,1.6,0.29,0.47,0.95,1.55,1.46,1.98,2.42,1.01,2.41,0.52,1.95,1.12,1.56,2.34,3,2.4,2.03,2.79,3.03,1.32,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,0.38,6.24,3.1,2.24,1.68,1.76,2.76,2.08,3.31,4.6,3.56,2.8,1.81,1.58,1.04,5.12,1.64,1.58,1.24,4.09,1.01,3.07,1.02,2.04,0.89,6.51,1.66,2.04,3.1,3.34,2.36,1.97,2.3,2.7,0.18,2.68,2.99,2.85,1.42,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,1.68,1.66,2.93,3.23,2.78,2.94,4.5,1.8,1.07,2.85,3.72,2.28,0.68,2.41,1.16,1.5,1.03,1.79,3.53,1.23,4.03,0.96,1.29,1.02,3.23,3.75,0.25,2.63,1.64,2.13,2.78,2.29,2.57,4.98,0.68,4.39,1.67,1.9,1.93,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.39,2.97,2.13,4.62,4,0.84,4.77,1.06,0.89,5.51,2.68,2.68,2.3,2.27,3.98,3.04,2.09,2.14,1.08,0.9,0.41,2.03,2.14,3.45,2.32,2.01,0.7,1.63,1.36,2.81,2.36,2.43,1.59,1.82,1.67,1.14,3.75,2.2,0.07,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,1.84,1.26,3.75,4.69,2.01,2.9,2.76,2.63,4.13,1.02,1.12,4.59,3.39,1.99,3.12,2.41,1.21,2.68,6.3,2.32,3.26,3.73,1.53,3.2,3.39,1.16,0.4,1.74,3.51,0.8,0.73,2.3,2.14,2.16,4.22,2.85,1.37,1.73,2.01,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,1.58,1.92,3.04,1.75,3.71,3.61,4.89,2.74,3.8,4.27,1.93,1.69,2.29,2.06,3.97,3.53,1.8,1.99,3.98,5.69,2.35,2.81,2.89,4.14,1.18,3.45,1.14,1.04,2.22,4.32,2.96,4.38,1.65,3.94,0.77,1.54,1.92,1.31,1.99,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,1.55,2.75,3.2,2.62,2.58,1.24,1.94,3.02,5,2.33,2.04,0.78,0.81,4.09,1.85,1.82,3.48,3.35,2.12,1.89,1.17,1.8,1.4,1.49,2.58,2.68,1.87,1.22,1.69,1.86,1.33,2.37,1.04,2.03,1.5,1.57,2.44,2.65,2.96,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,14.73,31.99,28.51,33.27,27.67,26.31,36.49,27.61,23.91,31.29,30.31,28.11,22.37,25.44,28.92,30.35,29.87,20.91,31.23,25.39,22.67,24.56,19.73,24.31,25.36,30.11,17.44,21.51,20.99,25.56,27.42,26.33,20.06,28.87,19.81,23.51,25.31,27.33,18.42,27.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
