"NORWICH (MARLINGFORD HALL)",,,,,,,,,,,,
Grid ref,TG127081,Long,1.141418,Lat,52.628959,,,,,,,
Station no,1419,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.05,2.82,1.16,1.63,1.67,3.07,1.94,2.38,3.12,3.84,,
February,2.81,0.97,1.53,2.17,2.40,1.77,2.31,3.91,0.18,1.90,,
March,3.06,2.40,0.63,2.02,1.68,0.83,1.97,1.28,1.48,0.90,,
April,3.05,1.47,1.94,0.55,0.43,0.86,0.31,1.01,1.56,0.74,,
May,1.81,1.37,1.17,1.87,2.21,0.78,1.85,3.08,0.38,0.42,,
June,1.12,1.56,2.34,3.00,2.40,2.03,2.79,3.03,1.32,0.91,,
July,2.36,1.97,2.30,2.70,0.18,2.68,2.99,2.85,1.42,2.80,,
August,2.78,2.29,2.57,4.98,0.68,4.39,1.67,1.90,1.93,2.48,,
September,2.36,2.43,1.59,1.82,1.67,1.14,3.75,2.20,0.07,2.93,,
October,0.73,2.30,2.14,2.16,4.22,2.85,1.37,1.73,2.01,4.03,,
November,2.96,4.38,1.65,3.94,0.77,1.54,1.92,1.31,1.99,3.15,,
December,1.33,2.37,1.04,2.03,1.50,1.57,2.44,2.65,2.96,3.37,,
Total,27.42,26.33,20.06,28.87,19.81,23.51,25.31,27.33,18.42,27.47,,
Calc annual,27.42,26.33,20.06,28.87,19.81,23.51,25.31,27.33,18.42,27.47,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
