SESSAY RECTORY,,,,,,,,,,,
Grid ref,SE461751,Long,-1.295,Lat,54.170,Elevation,113,ft,,,
Station no,RR6005,,,,,,,,,,
,,,,,,,,,,,
,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924
January,,3.10,0.48,2.65,1.88,,3.17,1.18,3.28,1.15,1.90
February,,2.68,2.83,0.77,2.45,,0.80,0.13,2.35,4.11,1.20
March,,1.05,2.50,1.96,1.27,,1.85,0.92,1.40,1.50,1.32
April,,0.69,1.46,1.84,1.26,,3.14,0.99,2.37,1.63,1.70
May,,1.13,3.00,0.99,3.09,,2.41,1.19,0.69,1.77,4.63
June,,0.16,1.86,1.34,0.95,,1.12,0.25,1.40,0.68,1.46
July,,4.36,2.56,1.16,3.23,,4.47,1.30,4.31,2.86,2.61
August,,2.24,1.48,7.05,2.26,,1.88,3.88,3.62,4.29,2.62
September,,1.30,2.34,0.80,5.01,,1.07,1.35,2.18,2.23,2.13
October,1.81,1.25,2.98,2.98,1.52,,2.55,1.32,0.83,2.36,3.69
November,2.81,1.49,2.31,1.43,1.45,,1.06,1.89,1.27,2.72,1.74
December,4.49,4.51,1.67,1.71,3.14,,3.00,2.09,2.89,2.82,2.72
Total,,23.96,25.47,24.68,27.51,,26.52,16.49,26.59,28.12,27.72
,,,,,,,,,,,
TYRain_1910-1919_20_pt1/272,,,,,,,,,,,
TYRain_1920-1930_23_pt1/161,,,,,,,,,,,
