BODEDERN-PRESADDFED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH351809,Long,-4.475899,Lat,53.299316,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,3.56,2.41,2.87,1.96,2.86,4.31,2.14,4.08,,,4.04,5.02,4.54,5.57,4.59,3.69,6,2.39,3.9,3.23,6.87,2.43,6.56,3.21,5.48,4.09,3.84,1.83,4.82,3.69,3.99,6.89,5.08,2.98,8.11,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.26,0.69,4.22,2.67,2.42,1.5,4.35,4.83,,,3.41,1.84,2.66,0.7,4.55,6.1,1.11,6.1,3.57,3.29,3.88,1.36,0.49,3.66,0.42,2.28,0.32,4.25,2.4,5,1.06,3.64,4.2,3.4,1.73,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.27,3.94,1.69,1.82,4.78,3.3,3.49,1.17,,,1.63,5.33,6.8,5.28,2.39,1.5,1.45,1.09,0.76,4.32,2.68,0.77,4.26,1.72,1.37,2.84,1.96,1.11,3.24,1.01,1.73,2.72,2.19,2.82,3.44,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,3.92,3.57,3.86,2.33,0.32,3.04,0.76,2.15,,,1.88,2.02,4.1,2.33,2.12,3.37,3.17,2.39,1.86,1.1,1.03,1.24,2.78,2.7,2.46,1.24,1.53,2.29,1.23,2.55,0.2,1.61,2.34,1.97,1.54,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.28,1.75,2.17,1.34,1.76,2.6,2.23,2.5,,,3.63,1.22,4.94,2.98,1.6,1.97,5.71,4.56,3.22,1.44,1.7,3.55,1.63,4.52,3.72,2.09,4.53,1.66,1.09,1.03,2.64,0.6,1.55,3.12,3.23,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,3.08,0.83,2.39,1.73,4.81,2.74,1.38,0.94,,,2.15,1.82,3.79,0.33,1.6,1.2,2.99,0.1,1.89,4.18,5.41,2.59,1.76,5.42,1.36,1.71,1.79,4.05,4.84,2.53,4.88,1.63,0.87,1.16,,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,4.23,5.75,3.92,0.95,4.89,2.15,3.6,3.3,,,4.96,1.93,7.54,3.17,3.77,3.66,4.01,2.57,3.67,4.06,2.46,2.6,2.88,2.49,4.68,2.19,0.46,0.45,3.79,2.38,4.38,5.84,3.16,1.86,2.13,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.56,2.17,5.82,3.59,4.67,1.59,2.52,3.03,,,2.03,2.64,4.46,6.31,3.74,4.68,3.43,3.54,3.19,7.37,3.65,3.79,5.91,3.83,1.43,1.88,3.09,1.84,2.31,0.84,2.09,1.92,0.78,2.77,4.3,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,4.07,3.93,1.22,4.69,0.97,4.7,3.04,1.4,,,8.79,4.46,3.44,1.52,4.03,4.54,5.37,3.77,1.65,4.8,1.88,2.15,3.82,3.95,4.22,1.01,4.49,6.16,3.78,3.22,2.77,1.15,2.61,1.45,3.96,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.04,7.08,2.29,3.58,5.53,4.9,2.09,2.49,,,5.21,3,3.35,4.05,1.39,6.63,3.98,5,3.82,3.08,5.88,6.52,6.55,2.95,6.36,4.53,6.4,6.74,2.06,7.44,6.85,3.3,4.95,4.28,4.7,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
