ROSS PENNYSTONE COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO624294,Long,-2.548631,Lat,51.961801,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.78,1.61,1.43,1.97,2.23,4.71,0.49,2.22,0.14,,,1.4,0.88,3,2.89,1.26,3.33,1.45,0.55,0.75,2.31,0.6,3.91,4.02,0.62,2.97,0.84,2,,2.15,2.66,2.34,3.44,1.04,3.32,1.78,3.33,3,3.96,1.02,5.02,1.08,2.75,1.67,2.45,0.61,3.56,3.5,2.83,6.2,3.42,4.44,2.55,6.32,2.46,1.99,2.71,2.1,4.05,1.1,0.45,2.6,1.59,0.64,1.85,3.52,2.86,1.56,1.17,4.58,5.64,,
February,0.65,0.05,1.86,2.94,1.99,0.18,0.23,2.47,1.16,,,0.8,1.07,1.56,4.28,0.77,1.73,0.73,0.75,0.44,2.63,0.92,1.85,1.11,1.99,2.92,4.22,1.97,,2.87,0.48,0.2,2.94,5.09,0.19,3.33,1.64,2.82,1.9,0.55,0.68,1.66,0.09,3.28,0.42,1.71,2.36,3.94,0.67,1.34,2.72,3.4,0.39,1.62,0.77,1.76,1.83,1.95,1.26,1.17,4.66,3.37,0.51,1.45,2.17,1.56,0.77,2.5,4.33,0.26,2.73,,
March,0.95,1.73,0.49,0.03,0.44,1.77,1.95,3.28,0.41,,,1.86,1.33,3.18,1.47,2.73,1.18,0.56,2.64,2.41,0.69,1.46,3.41,3.72,2.73,0.78,3.9,2.67,,4.27,2.27,1.09,2.33,1.05,0.86,0.64,0.23,2.24,3.37,0.17,2.62,0.4,1.36,2.08,1.54,0.54,2.8,4,0.11,1.51,1.59,2.53,2.97,1.39,0.48,0.92,1.19,6.1,1.11,1.29,1.31,4.03,2.2,0.98,2.6,2.21,0.62,2.05,1.14,2.03,2.26,,
April,0.93,1.55,0.61,0.12,1.77,2.28,0.92,1.76,1.78,,,2.35,2.14,2.08,1.03,2.95,1.15,2.67,3.08,2.36,2.06,0.88,0.18,2.8,0.94,0.84,1.14,1.37,,1.47,3.42,0.6,2.56,2.23,1.94,1.39,2.47,0.87,1.1,0.82,2.98,2.55,2.35,1.08,1.91,3.49,2.32,1.87,0.13,2.6,3.2,1.55,1.92,0.61,1.52,1.45,2.36,2.95,2.42,2.61,1.83,2.62,1.99,2.6,0.36,0.97,2.04,0,0.41,2.52,1.86,,
May,1.7,3.42,1.18,1.72,2.48,0.9,0.25,1.21,3.88,,,1.13,2,4.8,1.84,0.49,2.28,2.14,1.32,0.86,1.47,1.81,3.68,2.16,1.23,2.94,2.98,4.04,,0.18,1.43,1.29,0.52,1.5,6.3,2.08,2.2,0.86,0.7,1.86,1.87,3.5,5.27,2.27,1.12,0.61,0.81,2.97,1.77,0.68,2.22,2.49,3.62,3.35,0.92,2.62,4,2.48,3.87,2.19,1.85,3.63,3.89,2.17,2.13,4.86,0.52,1.3,2.1,1.62,1.53,,
June,1.41,3.32,0.94,0.89,1.68,0.74,1.79,2.5,0.6,,,2.24,3.47,2.82,0.98,3.72,2.71,1.8,1.28,2.32,2.93,0.91,4.72,0.74,2.09,0.77,1.39,2.05,,0.99,3.37,0.81,0.71,0.41,2.63,0,1.62,2.81,2.41,1.19,0.63,3.19,1.04,2.7,0.76,2.72,4.17,1.34,1.21,1.59,0.69,2.56,0.13,2.05,1.63,3.13,2.46,1.74,2.52,0.46,2.1,0.82,1.87,1.84,5.03,4.01,1.85,0.49,4.11,1.15,2.41,,
July,2.67,1.58,3.38,2.54,2.4,2.5,0.87,1.74,0.8,,,2.61,0.91,2.71,1.82,0.72,0.47,2.41,1.37,1.17,1.66,0.08,3.95,0.89,3.78,4.01,1.92,1.66,,2.77,3.58,0.56,3.83,2.29,3.93,2.31,2.03,2.97,1.89,1.72,2.11,3.77,2.49,1.27,0.39,0.25,5.15,3.63,2.69,5.15,3.77,2.41,1.34,1.47,2.13,2.94,1.19,2.76,0.98,0.73,2.53,1.31,0.75,2.96,1.57,1.63,4.34,2.63,3.36,2.09,2.47,,
August,2.91,4.45,2.24,0.93,3.73,2.04,1.19,3.7,2.09,,,1.65,4.33,3.43,1.73,3.84,0.91,2.23,2.9,2.13,5.29,1.45,7.14,1.05,1.31,2.41,3.64,5.35,,1.86,1.29,2.25,2.42,1.32,3.65,2.84,2.36,4.65,1.47,1,2.95,5.49,2.72,0.63,1.87,1.08,0.26,0.78,3.63,2.12,0.21,4.55,3.38,2.33,2.58,3.27,6.03,1.31,4,0.97,3.42,4.05,5.85,3.75,3.15,0.59,3.5,3.92,2.35,1.29,2.99,,
September,1.64,1.46,1.9,0.89,3.97,0.88,5.51,2.32,0.31,,,1.5,1.72,3.4,2.48,1.24,0.34,0.66,2.05,2.82,0.44,1.24,0.84,2.95,1.01,0.77,0.88,1.82,,1.45,1.35,1.32,1.23,1.7,4.78,3.82,0.83,4.39,1.02,0.4,3.45,1.37,3.35,2.53,1.73,3.54,2.95,2.3,1.4,0.66,1.13,0.93,1.78,3.79,2.66,2.44,4.46,1.32,2.67,2.29,3.23,3.59,1.91,2.67,1.9,1.45,3.48,3.68,4.76,0.11,4.64,,
October,1.27,6.29,1.01,2.15,3.91,1.94,2.38,1.44,4.24,,,0.97,3.41,5.94,0.44,1.79,4.42,7.92,1.75,3.46,3.57,2.16,3.61,4.03,1.47,3.74,4.4,2.35,,2.02,2.5,1.22,0.56,5.53,4.21,2.48,2.76,2.06,4.84,4.62,2.4,0.55,3.99,3.81,1.35,3.35,1.61,3.49,2.56,2.98,4.64,2.34,1.89,2.11,3.84,3.64,0.71,0.64,3.4,5.95,0.92,0.89,4.1,2.41,2.89,0.87,1.36,1.22,4.82,2.34,6.67,,
