"DUNDALK, MOUNT PLEASANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ0627612219,Long,-6.377983,Lat,54.048335,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,3.89,2.87,3.76,1.76,4.38,3.22,2.57,4.33,1.29,2.55,2.11,2.35,1.32,3.93,5.12,1.38,2.59,2.08,1.76,2.38,3.66,4.09,,,,,,,,,,
February,,,,,,,,,,3.08,2.58,1.27,3.39,2.61,3.92,1.39,2.3,2.24,2.14,0.88,3.83,2.68,3.65,1.12,2.95,3.44,2.52,2.85,3.78,1.79,1.95,,,,,,,,,,
March,,,,,,,,,,1.25,1.07,2.28,1.81,4.56,1.9,4.95,2.35,2.55,4.01,2.64,1.59,1.32,4.52,3.29,3.47,0.75,1.66,3.49,1.76,2.78,2.73,,,,,,,,,,
April,,,,,,,,,,3.6,2.31,2.27,2.89,1.44,2.32,2.01,1.46,2.52,2.63,4.33,1.92,2.44,1.1,3.64,1.27,1.95,2.4,1.82,1.03,1.25,3.23,,,,,,,,,,
May,,,,,,,,,3.89,3.72,2.23,2.75,2.99,2.74,2.17,1.83,4.54,3.79,2.6,1.81,2.19,1.72,1.62,3.34,1.62,1.27,5.01,3.18,2.96,2.33,2.72,,,,,,,,,,
June,,,,,,,,,3.48,2.02,4.4,2.49,3.52,1.84,2.57,2.34,1.89,4.04,1.56,1.7,4.36,2.32,4.96,2.34,1.14,2.34,2.49,1.91,1.77,2.51,2.64,,,,,,,,,,
July,,,,,,,,,0.93,2.25,3.51,0.77,3.8,4.94,3.6,1.52,2.42,2.32,4.03,3.19,3.64,2.5,3.27,1.83,3.14,4.28,2.49,4.23,3.96,0.65,3.85,,,,,,,,,,
August,,,,,,,,,4.61,2.07,4.73,4.66,2.69,5.53,4.73,7.84,4.34,3.59,1.78,1.49,4.96,1.82,5.72,0.57,3.73,4.07,3.62,8.14,2.74,3.07,2.52,,,,,,,,,,
September,,,,,,,,,3.04,3.83,1.41,3.04,2.96,4.76,3.32,1.27,1.16,1.2,5.51,1.3,0.81,1.2,0.75,5.59,1.04,0.86,1.25,1.53,3.63,2.16,3.05,,,,,,,,,,
October,,,,,,,,,4.8,1.91,4.46,2.84,2.19,4.02,0.94,1.21,4.02,4.63,3.47,4.35,1.64,4.37,2.5,3.5,1.99,4.58,7.48,3.02,3.49,1.98,3.75,,,,,,,,,,
November,,,,,,,,,3.47,2.32,5.49,4.69,4.73,2,2.55,3.44,2.72,3.66,2.27,0.9,2.7,3.47,2.3,3.2,3.68,2.61,4.1,3.38,2.82,1.89,2.3,,,,,,,,,,
December,,,,,,,,,1.84,6.87,3.32,3.04,2.79,3.56,2.45,1.86,2.55,3.55,3.48,4.09,4.98,5.17,3.94,2.82,7.65,5.32,3.07,2.75,4.39,7.05,3.5,,,,,,,,,,
Total,,,,,,,,,,36.81,38.38,33.86,35.52,42.38,33.69,32.23,34.08,35.38,36.03,28.79,34.97,30.33,38.26,36.36,33.06,34.06,38.17,38.06,34.71,31.12,36.33,,,,,,,,,,
