ULLOCK,,,,,,,,,,,,,,,,,,,,
Grid ref,NY070239,Long,-3.441136,Lat,54.601681,Elevation,313,ft,,,,,,,,,,,,
Station no,RR4487,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,5.29,1.9,3.63,0.86,5.48,7.82,5.69,3.17,,,,,,,,
February,,,,,5.81,0.27,2.8,2.84,4.12,3.23,4.81,2.35,,,,,,,,
March,,,,,3.42,4.77,6.82,6.81,2.17,3.84,0.62,3.05,,,,,,,,
April,,,,,1.85,2.49,2.4,3.07,5.2,4.87,2.98,3.5,,,,,,,,
May,,,,,4.54,1.02,0.65,3,3.43,4.78,4.06,2.2,,,,,,,,
June,,,,2.13,4.28,0.89,3.43,4.64,3.88,1.69,4.25,2.67,,,,,,,,
July,,,,4.6,3.46,5.01,4.83,2.86,0.83,3.87,2.19,1.1,,,,,,,,
August,,,,6.71,6.25,7.64,3.66,5.77,7.99,1.77,9.76,6.31,,,,,,,,
September,,,,4.65,0.62,1.99,5.29,5.21,3.75,7.1,5.12,4.08,,,,,,,,
October,,,,5.85,3.91,5.63,8.71,3.38,4.58,4.75,6.27,8.91,,,,,,,,
November,,,,3.91,6.74,4.62,2.55,11.22,5.89,7.35,4.7,5.8,,,,,,,,
December,,,,7.02,,3.63,6,7.4,6.75,3.77,10.07,,,,,,,,,
Total,,,,,,39.86,50.77,57.06,54.07,54.84,60.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1894 Dec 5.13 computed - gauge knocked over,,,,,,,,,,,,,,,,,,,,
1901 Dec 6.2 and totals estimated therefore removed,,,,,,,,,,,,,,,,,,,,
