COCKERMOUTH ULLOCK - NEW GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY070239,Long,-3.441136,Lat,54.601681,Elevation,313,ft,,,,,,,,,,,,
Station no,RR4487,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,3.18,4.42,5.64,4.63,2.37,6.41,2.19,6.02,3.56,4.15,3.33,2.55,,,,,,,
February,,2.28,0.94,6.69,3.95,3.26,3.46,2.22,3.25,2.78,7.53,6.34,2.63,,,,,,,
March,,2.9,3.08,8.1,4.01,4.39,3.14,5.41,4.05,3.46,4.34,1.8,7.1,,,,,,,
April,,3.43,2.3,2.02,4.3,4.82,1.93,3.64,1.51,3.26,3.2,5.33,1.02,,,,,,,
May,3.96,2.16,3.11,3.39,3.61,4.26,5.44,4.73,3.34,2.65,3.15,3.77,2.71,,,,,,,
June,4.22,2.59,2.13,2.18,1.73,2.57,3.09,7.48,3.95,2.73,1.53,5.13,6.66,,,,,,,
July,2.14,1.06,4.42,5.67,3.76,3.05,2.9,2.15,4.46,7.92,4.25,1.27,4.87,,,,,,,
August,9.61,6.2,3.8,6.71,5.57,4.19,5.97,6.1,7.11,3.46,6.98,3.19,5.91,,,,,,,
September,5.05,4.01,2.29,7.09,3.72,4.17,1.75,0.55,6.03,2.62,0.82,3.4,1.75,,,,,,,
October,6.22,8.7,4.29,9.38,3.75,3.52,6.72,9.9,1.93,11.87,2.84,5.01,5.4,,,,,,,
November,4.67,5.73,3.05,4.35,4.31,4.78,4.32,5.63,4.34,2.84,5.01,7.26,6.78,,,,,,,
December,10.05,6.11,4.91,4.27,6.15,4.13,3.74,7.51,4.27,9.12,6.07,9.63,7.95,,,,,,,
Total,,48.35,38.74,65.49,49.49,45.51,48.87,57.51,50.26,56.27,49.87,55.46,55.33,,,,,,,
