"COCKERMOUTH ULLOCK",,,,,,,,,,,,
Grid ref,NY070239,Long,-3.441136,Lat,54.601681,,,,,,,
Station no,RR4487,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,3.18,4.42,5.64,4.63,2.37,6.41,2.19,6.02,3.56,,
February,,2.28,0.94,6.69,3.95,3.26,3.46,2.22,3.25,2.78,,
March,,2.90,3.08,8.10,4.01,4.39,3.14,5.41,4.05,3.46,,
April,,3.43,2.30,2.02,4.30,4.82,1.93,3.64,1.51,3.26,,
May,3.96,2.16,3.11,3.39,3.61,4.26,5.44,4.73,3.34,2.65,,
June,4.22,2.59,2.13,2.18,1.73,2.57,3.09,7.48,3.95,2.73,,
July,2.14,1.06,4.42,5.67,3.76,3.05,2.90,2.15,4.46,7.92,,
August,9.61,6.20,3.80,6.71,5.57,4.19,5.97,6.10,7.11,3.46,,
September,5.05,4.01,2.29,7.09,3.72,4.17,1.75,0.55,6.03,2.62,,
October,6.22,8.70,4.29,9.38,3.75,3.52,6.72,9.90,1.93,11.87,,
November,4.67,5.73,3.05,4.35,4.31,4.78,4.32,5.63,4.34,2.84,,
December,10.05,6.11,4.91,4.27,6.15,4.13,3.74,7.51,4.27,9.12,,
Total,,48.35,38.74,65.49,49.49,45.51,48.87,57.51,50.26,56.27,,
Calc annual,45.92,48.35,38.74,65.49,49.49,45.51,48.87,57.51,50.26,56.27,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
