LINLITHGOW (CRAIGENROAN),,,,,,,,,,
Grid ref,NT001766,Long,-3.602237,Lat,55.971965,Elevation,290,ft,,
Station no,5158/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,1.7,5.16,1.83,1,3.38
February,,,,,,2.11,3.09,2.38,1.35,2.54
March,,,,,,1.53,2.41,1.7,1.15,1.52
April,,,,,,0.55,1.72,1.47,2.01,1.48
May,,,,,,1.32,2.59,2.87,1.15,2.19
June,,,,,,3.12,1.81,3.75,1.62,1.12
July,,,,,,4.17,3.47,6.41,3.86,2.86
August,,,,,,5.36,2.63,4.22,0.63,3.61
September,,,,,,4,2.01,3.42,0.6,1.64
October,,,,,,2.01,2.53,1.97,2.23,3.8
November,,,,,,0.59,1.78,1.21,5.81,2.9
December,,,,,,3.54,3.35,5.3,4.2,3.32
Total,,,,,,30,32.55,36.53,25.61,30.36
,,,,,,,,,,
CEDA: 15661 LINLITHGOW: CRAIGENROAN until 31 Dec 1984,,,,,,,,,,
