HALIFAX WIDDOP - gauge No 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD935328,Long,-2.0987,Lat,53.7921,Elevation,1060,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3258/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.09,0.33,0.28,4.42,5.83,6.12,2.86,10.08,2.68,2.22,2.12,5.32,2.77,5.97,1.84,5.35,3.03,2.1,2.71,3.89,7.12,5.49,2.91,3.95,5.14,4.52,2.51,8.11,1.92,2.49,2.17,4.73,2.24,4.81,4.58,3.97,6.54,3.66,3.48,3.27,5.11,4.65,8.77,4.44,4.98,3.48,4.67,5.22,4.45,10.2,1.71,6.63,5.84,6.75,3.25,4.14,2.33,4.86,4.34,5.21,5.77,2.42,2.28,5.63,6.84,,,,,,,
February,,,,,,,,,,3.96,4.28,6.14,4.1,4.2,4.41,6.26,1.18,1,1.38,2.25,1.1,0.68,3.85,5.15,6.21,0.67,2.4,3.58,3.84,1.91,5.29,2.34,1.64,5.11,4.52,2.77,2.99,2.05,2.21,3.13,5.01,4.86,2.17,2.05,3.4,5.88,4.94,1.18,6.14,1.79,4.01,0.75,4.98,7.02,1.43,7.41,4.31,2.35,4.96,1,1.24,5.22,0.47,5.79,0.46,7.16,3.71,5.87,1.68,4.54,2.31,6.95,2.37,2.92,,,,,,,
March,,,,,,,,,,1.79,3.65,7.07,4.55,2.26,3.57,3.21,3.77,2.48,4.18,3.84,4,3,1.69,1.95,4.46,4.41,6.99,4.91,2.51,2.83,1.18,4.02,2.69,6.09,2.68,4.23,2.89,3.28,3.62,3.1,1.24,2.14,5.34,5.35,5.63,1.83,3.6,3.14,2.18,5.25,4.62,3.53,4,2.23,1.77,2.22,1.92,4.83,3.62,1.11,2.72,0.67,3.12,2.34,3.14,1.82,2.83,2.65,1.88,3.35,3.02,5.46,3.29,1.08,,,,,,,
April,,,,,,,,,,2.37,2.49,1.68,7.16,2.88,2.94,3.02,3.38,1.35,3.21,3.35,1.52,2.41,2.25,1.29,2.51,3.26,3.29,3.35,4.05,4.21,2.82,3.18,2.86,2.52,3.14,3.79,0.99,3.39,2.68,3.76,4.89,2.31,1.26,5.19,1.66,2.04,3.53,2.02,1.67,2.63,6.55,2.16,4.58,3.82,2.38,3.46,2.27,3.75,1.24,1.85,4.64,4.94,3.94,1.85,3.22,3.22,1.89,3.87,0.77,2.37,4.07,3.03,2.05,2.44,,,,,,,
May,,,,,,,,,,1.53,2.99,3.18,1.87,1.83,1.97,3.92,6.04,2.46,1.5,2.73,3.54,4.47,4.9,2.58,2.97,0.78,0.95,2.54,4.61,3.35,2.68,1.69,4.08,3.93,3.26,1.21,4.05,3.74,2.44,2.49,3.05,1.46,3.72,4.39,2.3,2.28,3.48,1.88,2.88,1.67,5.75,2.74,1.92,4.6,5.41,4.5,4.46,1.52,1.74,2.78,2.49,2.58,5.31,2.96,3.07,1.32,1.54,2.76,5.18,1.76,1.37,2.33,3.93,3.33,,,,,,,
June,,,,,,,,,,7.45,6.29,2.68,6.19,4.3,1.07,4.46,2.22,0.32,3.71,0.45,4.48,2.06,4.44,3.75,4.52,3.1,3.64,4.06,3.67,1.65,4.21,1.91,2.06,2.2,1.27,2.79,2,6.98,2.27,3.11,3.29,4.87,7.11,2.36,2.43,1.35,3.31,3.04,2.56,1.89,2.64,0.21,2.85,1.3,3.15,0.1,3.66,4.24,7.03,1.86,2.31,7.12,1.39,2.78,2.67,4.77,4.54,2.23,4.38,3.32,0.81,0.62,1.57,4.16,,,,,,,
July,,,,,,,,,,7.29,5.33,6.04,6.61,3.99,5.61,1.87,4.49,2.92,6.42,3.84,3.45,4.34,2.87,4.42,5.11,5.94,2.63,2.3,1.42,3,3.27,2.01,4.34,4.94,2.75,2.54,3.03,2.95,5.22,6.33,4.09,0.39,5.22,1.67,3.73,4.86,3.07,1.88,4.26,2.97,7.97,2.31,5.57,5.72,4.53,1.84,2.54,3.59,1.69,2.94,7.15,5.26,4.67,2.85,2.9,2.36,5.45,2.43,6.09,7.32,5.25,2.55,4.82,2.95,,,,,,,
August,,,,,,,,,,6.95,1.94,6.6,4.08,2.72,1.86,2.01,2.69,2.04,5.57,6.25,7.29,8.97,5.33,5.25,6.38,5.26,3.18,5.78,5.2,1.73,6.74,2.63,3.27,5.74,5.28,4.78,4.59,4.1,4.51,3.84,5.5,2.33,8.55,2.11,2.23,4.48,3.92,7.2,3.74,3.76,2.05,5.96,7.32,6.12,6.57,4.14,4.32,7.45,6.63,4.07,7.84,5.26,1.54,1.66,4.83,1.92,3.43,1.83,6.25,4.15,2.53,6.9,4.54,6.3,,,,,,,
September,,,,,,,,,,2.51,4.24,2.77,2.62,7.95,3.1,6.45,2.99,5.43,1.87,3.25,3.36,4.26,4.38,6.08,0.42,2.47,9.21,5.45,1.57,7.57,1.71,1.45,2.18,5.56,1.57,3.16,1.39,0.8,3.67,2.92,0.45,3.68,2.52,1.59,2.99,0.82,2.96,2.6,11.8,1.86,2.42,2.19,4.56,6.34,5.49,3.33,3.83,6.44,0.93,1.48,4.93,5,5.62,2.13,3.93,7.74,4.57,2.01,2.51,1.52,3.46,0.7,3.14,4.32,,,,,,,
October,,,,,,,,,,3.4,9.28,4.23,5.41,5.17,3.71,8.29,7.52,3.38,2.23,6.14,3.48,5.68,8.91,5.18,7.5,6.08,6.28,2.45,6.4,3.85,6.08,4.21,5.19,11.72,1.87,3.64,6.96,7.05,2.89,5.03,3.79,4.13,4.66,2.4,2.93,1.78,10.01,8.07,3.88,4.05,2.45,2.76,1.26,5.49,4.81,6.4,3.37,5.02,6.55,5.87,7.05,2.56,7.95,4.99,4.99,9.41,4.53,2.74,8.78,3.43,4.73,5.47,7.22,3.19,,,,,,,
