KEYNSHAM-SOMERDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST656695,Long,-2.49532,Lat,51.42351,Elevation,58,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1990/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.64,4.64,2.01,2.81,3.55,5.56,1.69,1.64,2.67,1.84,6.1,1.02,0.62,3.08,2.78,0.72,1.97,2.89,3.85,2.43,2.64,3.42,3.08
February,,,,,,,,0.92,1.86,3.1,2.66,0.28,1.73,0.58,2.66,3,1.13,1.63,1.3,5.87,4.08,0.63,1.44,3.3,1.4,0.26,2.58,3.13,0.25,2.06
March,,,,,,,3.2,0.12,1.46,2.1,3.52,1.91,1.18,0.33,1.03,0.85,5.13,1.67,1.12,1.08,3.04,2.44,0.8,3.47,1.15,0.57,1.97,1.07,3.04,2.03
April,,,,,,,3.13,0.1,2.98,1.84,0.95,1.04,0.84,2.22,0.9,1.75,2.33,2.08,1.99,1.62,3.54,1.58,2.53,0.36,0.95,1.46,0.04,1.04,2.29,1.29
May,,,,,,,1.99,1.42,0.96,2.48,1.33,4.55,2.56,0.75,2.38,4.44,2.89,3.98,3.11,2,1.98,4.07,1.79,2.04,3.43,0.42,1.3,2.38,1.03,0.68
June,,,,,,,2.46,1.27,1.99,0.65,1.46,0.36,1.5,2.25,3.33,2.47,1.36,2.56,0.35,2.12,0.68,2.07,1.36,3.44,2.83,1.79,1.97,3.93,2.54,1.82
July,,,,,,,3.36,2.86,3.79,5.52,1.92,2.71,1.48,1.67,1.5,1.07,2.86,1.05,1.17,4.47,0.92,0.68,3.57,2.66,0.27,2.72,4,2.28,2.37,4.73
August,,,,,,,0.99,2.96,3.39,0.03,4.62,4.37,2.92,2.58,1.91,6.27,0.93,3.91,1.62,4.79,4.47,3.85,4.37,3.07,0.5,4.58,3.23,2.12,2.6,4.81
September,,,,,,,1.93,2.22,1.28,1.26,0.65,1.72,2.07,3.08,1.87,3.71,1.56,2.14,2,4.3,2.55,3.58,3.24,4.67,1.34,3.12,3.39,4.66,0.09,4.1
October,,,,,,,2.79,3.7,2.5,3.5,1.62,4.19,2.83,4.61,3.39,1.09,0.39,3.48,6.98,1.5,0.8,4.38,2.15,2.83,1.22,1.28,2.97,2.17,3.17,6.76
November,,,,,,,1.34,4.16,5.88,8.38,1.72,1.38,2.35,5.26,0.34,4.8,2.05,1.57,3.09,5.37,6.42,3.39,1.4,6.65,2.74,0.64,2.07,2.35,3.75,4.19
December,,,,,,,1.7,3.28,2.26,1.05,1.93,3.33,1.59,2.2,4.38,2.77,2.55,5.22,1.55,2.01,2.14,2.29,0.78,2.34,2.88,3.83,2.04,4.07,6.48,4.63
Total,,,,,,,,26.65,32.99,31.92,25.19,29.39,26.61,27.22,25.33,34.89,25.02,35.39,25.3,35.75,33.7,31.74,24.15,36.8,21.6,24.52,27.99,31.84,31.03,40.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J S Fry and Sons Ltd chocolate company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Printed with query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 sheet says Gauge over sheltered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
