HAYWARDS-HEATH-FRANKLYNN-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ336233,Long,-0.097660942,Lat,50.993598,Elevation,260,ft,,,,,,,,,,,,
Station no,RR7773,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.46,3.35,1.35,2.73,4.78,1.06,,,,,
February,,,,,,,,,,0.42,5.25,1.93,2.84,1.16,4.82,,,,,
March,,,,,,,,,,3.93,1.44,2.47,6.21,3.99,5.53,,,,,
April,,,,,,,,,,1.58,2.36,2.01,0.14,3.24,2.32,,,,,
May,,,,,,,,,2.1,1.43,2.1,2.39,1.67,2.38,1.14,,,,,
June,,,,,,,,,1.54,3.04,2.22,2.31,3.2,0.55,0.93,,,,,
July,,,,,,,,,2.83,2.74,3.22,0.62,1.85,2.71,2.22,,,,,
August,,,,,,,,,4.34,2.73,3.46,0.72,7,2.31,0.99,,,,,
September,,,,,,,,,1.54,3.06,0.33,1.5,3.96,3.13,1.18,,,,,
October,,,,,,,,,1.7,7.61,2.81,5.02,4.24,5.61,2.41,,,,,
November,,,,,,,,,1.34,1.34,4.21,7.9,2.93,4.64,4.54,,,,,
December,,,,,,,,,3.59,4.75,3.92,7.28,4.05,2.05,9.08,,,,,
Total,,,,,,,,,,34.09,34.67,35.5,40.82,36.55,36.22,,,,,
