CLAPHAM-LARKHALL-RISE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ293759,Long,-0.13993384,Lat,51.467306,Elevation,55,ft.,,,,,,,,,,,,,
Station no,12,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,2.04,1.21,2.76,1.75,2.15,1.65,3.21,0.63,2.1,1.01,,,,,,,,,
February,,,1.82,2.83,0.48,2.86,2.7,3.33,1.25,0.59,0.51,1.53,,,,,,,,,
March,,,1.54,2.12,0.74,0.7,0.17,2.33,1.41,0.02,1.67,0.21,,,,,,,,,
April,,,2.96,1.34,3.3,1.48,3.06,2,1.26,0.88,1.29,3.6,,,,,,,,,
May,,,0.95,1.97,,1.69,1.65,1.3,2.48,1.07,3.43,2.47,,,,,,,,,
June,,,1.45,0.39,3,0.1,3.05,3.14,2,0.87,2.06,1.59,,,,,,,,,
July,,,3.82,2.63,2.8,3.69,1.62,2.53,2.29,1.31,2.28,2.87,,,,,,,,,
August,,,2.07,1.92,2.21,2.43,1.43,3.94,2.53,1.52,2.47,3.73,,,,,,,,,
September,,1.94,2.06,1.12,2.55,1.83,1.26,4.15,0.51,0.12,3.48,2.06,,,,,,,,,
October,,0.72,0.92,5.07,3.9,2.59,2.19,1.28,2.89,2.17,1.11,0.78,,,,,,,,,
November,,2.03,1.29,1.61,2.23,1.67,5.16,2.52,1.45,4.24,3.97,2.26,,,,,,,,,
December,,1.07,3.3,1.96,2.97,2.44,0.33,3.41,1.92,3.28,1.56,0.6,,,,,,,,,
Total,,,24.22,24.17,,23.23,24.77,31.58,23.2,16.7,25.93,22.71,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is west end of LarkHall Rise, which best fits the relationships to church and station. Altitudes match.",,,,,,,,,,,,,,,,,,,,,
