BOURTON-ON-THE-WATER,,,,,,,,,,,,,,,,,,,,
Grid ref,SP168206,Long,-1.7573274,Lat,51.883711,Elevation,435,ft,,,,,,,,,,,,
Station no,RR6982,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,0.75,1.17,2.05,3.05,4,2.95,3.58,2.55,0.9,0.79,3.26,,,,,,,,,
February,4.38,2.55,1.5,4.45,1.65,4.16,0.69,0.85,1.2,1.52,0.46,,,,,,,,,
March,0.85,1.95,2.5,1.4,2.65,1.38,2.73,1.86,3.62,3.15,1.2,,,,,,,,,
April,3.25,0.85,2.5,0.9,2,2.5,2.57,1.5,2.38,3.19,1.22,,,,,,,,,
May,1.02,1.07,3.25,1.45,1.03,2.3,4.62,1.57,1.82,2.9,2.15,,,,,,,,,
June,1.9,2.33,4.3,4.32,3.24,2.14,1.82,1.76,2.26,0.91,1.83,,,,,,,,,
July,5.5,2.02,3.9,3.4,3.88,0.2,3.5,0.58,5.69,2.51,3.68,,,,,,,,,
August,0.7,4.1,3,1.36,2.2,2.42,1.58,1.28,2.68,2.48,2.48,,,,,,,,,
September,3.88,3.53,4.52,5.9,1.8,4.32,2.5,2.76,1.05,2.2,1.45,,,,,,,,,
October,5.6,1.45,6.63,3.08,0.95,3.83,5.3,2.43,0.57,2.99,1.56,,,,,,,,,
November,2.02,2.98,4.85,3.84,2.15,4.9,2.9,3.1,7.04,1.54,2.7,,,,,,,,,
December,3.25,3.75,3.6,1.28,2.95,1.04,4.22,2.12,3.37,1.93,0.95,,,,,,,,,
Total,33.1,27.75,42.6,34.43,28.5,32.14,36.01,22.36,32.58,26.11,22.94,,,,,,,,,
