ALDERWASLEY-HALL-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK326533,Long,-1.5148435,Lat,53.07594,Elevation,537,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,1.25,2.74,1.81,5.03,6.34,2.97,1.57,2.53,3.67,1.65,4.84,1.58,1.78,1.33,3.99,1.27,,,,,,,,
February,,,,,,0.24,1.07,3.98,2.37,2.24,4.98,2.17,2.36,1.38,4.69,1.34,4.41,3.14,1.7,0.85,2.97,2.36,,,,,,,,
March,,,,,,2.83,3.9,3.27,1.93,1.74,0.72,3.27,2.16,4.75,2.19,4.19,2.61,1.99,2.86,4.38,1.01,1.56,,,,,,,,
April,,,,,,2.32,1.08,2.62,2.89,3.26,1.48,1.88,2.49,2.16,2,2.37,0.86,1.81,3.34,1.91,2.74,1.88,,,,,,,,
May,,,,,,0.67,0.27,1.34,2.97,3.51,1.67,1.46,2.9,2.94,1.32,0.59,2.18,3.83,3.85,2.02,1.6,1.59,,,,,,,,
June,,,,,,1.28,2.74,4.64,1.7,2.04,5.15,2.24,1.74,1.28,0.54,2.83,2.01,4.9,1.49,4.03,1.89,2.24,,,,,,,,
July,,,,,,5.63,1.61,0.9,1.09,1.49,4.62,4.18,1.92,3.14,2.63,1.26,1.02,2.93,2.71,4,2.65,0,,,,,,,,
August,,,,,,2.98,2.34,3.56,4.07,0.65,5.68,1.94,3.39,5.69,4.53,4.54,1.96,2.16,3.74,2.77,5.27,1.1,,,,,,,,
September,,,,,,0.75,6.52,3.36,0.7,4.89,0.95,1.62,1.86,4.04,2.13,1.74,0.91,0.69,2.77,2.14,0.4,2.14,,,,,,,,
October,,,,,,2.97,3.87,1.33,3.85,3.45,3.41,2.43,3.4,7.82,0.72,1.93,7.64,4.83,1.35,5.44,2.56,2.46,,,,,,,,
November,,,,,,4.49,1.78,4.19,3.26,2.04,3.4,4.15,3.02,2.53,1.89,4.11,3.37,3.74,1.58,1.01,6.19,2.85,,,,,,,,
December,,,,,,3.56,5.55,4.54,3.08,2.91,5.8,6.98,2.53,1.67,2.02,0.69,3.34,3.4,2.42,7.21,5.18,5.82,,,,,,,,
Total,,,,,,,31.98,36.47,29.72,33.25,44.2,35.29,29.34,39.93,28.33,27.24,35.15,35,29.59,37.09,36.45,25.27,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Alderwasley Hall. Stated altitude seems to be 40 to 50 ft. too low but relationship to church is correct. 1860s gauge may not be in the same position as the Old gauge and it is assumed the Old and New gauges are close to each other.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
