ALDERWASLEY-HALL-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK326533,Long,-1.5148435,Lat,53.07594,Elevation,541,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,3.33,,2.03,3.8,,,,,,,,,,,,,,,,3.16,4.5,2.27,1.16,1.39,4.87,3.62,3.49,3.02,3.23,4.72,1.23,2.55,1.75,4.88,6.28,2.78,,,,,,,,
February,,,,,,,4.01,,2.45,2.43,,,,,,,,,,,,,,,,3.4,0.38,0.58,1.05,2.91,0.83,0.12,2.77,4.23,3.53,0.18,1.07,3.81,2.26,2.16,4.94,2.05,,,,,,,,
March,,,,,,,2.14,,4.23,2.55,,,,,,,,,,,,,,,,1.49,3.26,1.6,3.02,4.9,2.12,2.25,2.44,1.07,2.18,2.77,3.86,3.24,1.77,1.69,0.7,3.09,,,,,,,,
April,,,,,,,1.29,,2.23,2.12,,,,,,,,,,,,,,,,2.17,2.27,1.55,1.95,3.17,0.52,2.98,1.55,0.76,2.77,2.29,1.04,2.58,2.79,3.14,1.45,1.75,,,,,,,,
May,,,,,,,1.15,,2.24,5.19,,,,,,,,,,,,,,,,3.05,7.07,2.1,1.1,3.51,2.14,3.64,3.55,2.91,1.87,0.66,0.27,1.33,2.86,3.43,1.56,1.37,,,,,,,,
June,,,,,,,4.7,,0.66,1.14,,,,,,,,,,,,,,,,3.74,1.21,0.62,1.83,0.46,3.26,4.77,4.81,1.21,2.42,1.26,2.68,4.57,1.62,2.01,4.94,2.12,,,,,,,,
July,,,,,,,4.1,,0.56,0.51,,,,,,,,,,,,,,,,0.96,3.37,1.57,5.99,3.57,2.33,2.07,2.66,3.35,2.65,5.55,1.58,0.87,1.18,1.45,4.37,4.07,,,,,,,,
August,,,,,,,5.24,,2.34,1.37,,,,,,,,,,,,,,,,2.48,1.7,1.96,2.88,3.74,2.8,5.06,2.91,1.92,2.45,2.91,2.32,3.51,3.96,0.64,5.56,1.81,,,,,,,,
September,,,,,,,6.81,,2.87,5.4,,,,,,,,,,,,,,,,3.35,1.88,3.33,1.48,2.31,1.42,1.85,3.22,1.66,0.47,0.72,6.45,3.33,0.67,4.8,0.91,1.54,,,,,,,,
October,,,,,,,3.59,,3.92,2.25,,,,,,,,,,,,,,,,7.75,6.27,2.07,1.02,3.43,2.01,5.31,4.09,2.02,3.84,2.96,3.85,1.3,3.75,3.38,3.34,2.37,,,,,,,,
November,,,,,,,4.36,,1.58,2.35,,,,,,,,,,,,,,,,3.61,2.19,2.14,5.76,1.41,5.59,3.77,1.99,1.7,2.76,4.44,1.75,3.96,2.88,1.96,3.36,4.1,,,,,,,,
December,,,,,,,2.98,,9.67,5.2,,,,,,,,,,,,,,,,1,4.04,2.33,3.01,2.13,1.54,6.3,1.61,3.96,2.77,3.53,5.48,4.44,2.97,2.88,5.76,6.57,,,,,,,,
Total,,,,,,,43.7,,34.78,34.31,,,,,,,,,,,,,,,,36.16,38.14,22.12,30.25,32.93,29.43,41.74,35.09,27.81,30.94,31.99,31.58,35.49,28.46,32.42,43.17,33.62,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Alderwasley Hall. Stated altitude seems to be 40 to 50 ft. too low but relationship to church is correct. !860s gauge may not be in the same position as the Old gauge and it is assumed the Old and New gauges are close to each other.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
