LONG-RIDGE-MOSS-NEAR-BROADSLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE055027,Long,-1.9185158,Lat,53.520943,Elevation,1663,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2758/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,9.35,7.46,4.41,5.6,3.92,5.47,6.55,7.77,7.02,2.61,3.27,4.8,7.61,11.05,7.32,-999,4.1,15.7,5.89,5.1,7.85,,3.84,6.23,4.45,7.82,5.85,5.29,5.52,10
February,9.33,0.98,9.9,0.63,8.74,3.57,10.21,3.32,7.16,4.2,8.05,3.05,4.53,3.97,7.77,-999,2.8,5.52,4.12,9.1,6.4,3.24,4,4.85,,2.29,5.36,8.92,1.24,2.72
March,1.01,4.65,3.76,5.75,4.83,4.16,4.15,3,4.16,5.86,6.6,3.47,2.8,1,2.65,-999,8.2,2.2,3.52,4.4,8.9,4.31,3.63,3.62,3.43,2.22,6.41,3.06,3,1.7
April,7.59,7.42,3.3,4.2,4.36,2.75,4.6,0.96,3.75,3.55,4.72,2.7,3.7,4.85,3.22,,4.32,2.75,7.19,6.61,3.95,5.12,4.75,1.7,4.18,3.5,1.02,2.63,4.75,3.44
May,3.89,6.48,2.07,4.65,1.09,1.98,3.15,4.82,3.17,0.95,4.06,4.25,3.85,7.3,4.6,2.23,3.85,2.45,3.84,2.7,3.65,3.43,3.39,4.93,5.68,2.45,1.91,5.62,2.65,2.91
June,8.6,1.14,4.19,3.04,6.07,5.08,3.3,6.67,5.12,1.2,1.91,1.46,6.4,4.53,8.4,5.56,3.53,6.93,1.75,3.25,2.25,,6.03,5.75,5.2,4.84,3.16,7.24,3.25,2.44
July,7.19,7.13,5.87,5.05,3.6,7.05,4.51,7.37,10.6,6.7,3.64,8.3,4.38,5.6,2.25,9,4.04,3.74,3.85,5.4,5.9,4.49,11.31,12.01,2.02,9.69,8.06,6.62,5.06,11.65
August,8.65,2.55,2.17,6.04,2.97,4.78,1.93,4.4,3.1,4.25,9,7.65,10,6.47,5.15,7.03,0.4,7.65,4.98,7.87,8.95,4.84,7.88,10.15,,15.4,9.36,7.21,0.55,6.15
September,7.08,8.45,2.58,5.3,9.34,9.26,2.93,2.54,2.65,7.08,1.04,5.2,6.6,8.1,4.85,10.11,3.7,4.92,2.49,-999,5.1,6.39,4.77,8.35,3.75,6.22,9.21,6.5,0.55,4.45
October,4.2,11.2,7.17,8.73,13.44,8.42,3.4,13.5,4.05,6.25,7.7,11.24,4.06,6.43,7.55,2.05,2.1,5.17,4.66,-999,1.5,6.69,3,12.8,2.95,4.78,8.21,7.45,5.39,5.85
November,8.17,5.6,3.21,4.85,8.95,8.19,3.1,6.57,10.96,11.2,4.56,1.58,5.6,11.15,1.27,11.25,10.15,4.35,10.3,9.1,11.85,4.9,6.16,8.09,2.9,3.02,3.71,2.5,6.22,8
December,4,3.29,1.14,7.37,6.05,6.04,4.16,5.98,6.22,7.1,4.45,5.75,3.3,5.45,4.02,5.23,6.25,3.83,12.33,-999,9.8,5.76,3.36,9.57,8.22,7.23,6.86,5.85,7.8,5.75
Total,79.06,66.35,49.77,61.21,73.36,66.75,51.99,66.9,67.96,60.95,59,59.45,62.83,75.9,59.05,,53.44,65.21,64.92,74.08,76.1,,62.12,88.05,,69.46,69.12,68.89,45.98,65.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11898 NEAR BROADSLATE Start 1931 end 1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near a part of the moor called Near Broadslste. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan to Mar 1946 total is 21.50 apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb and Mar 1947 estimated for snow and left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct and Nov total is 11.59 apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
