DOGMERSFIELD-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SU772515,Long,-0.8948,Lat,51.25778,Elevation,330,ft,,,,,,,,,,,,
Station no,RR7647,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,2.53,5.18,3.63,1.57,3.57,0.86,5.26,0.87,3.07,0.5,2,1.58,2.34,2.42,2.73,,,,
February,,1.2,1.88,1.28,2.4,2.27,1.85,1.36,1.4,3.52,2.95,2.58,1.43,4.7,2.42,3.5,,,,
March,0.74,1.15,2.07,1.82,0.2,0.88,3.22,2.48,0.68,0.39,1.01,1.96,0.75,1.1,1.86,2.52,,,,
April,0.23,3.08,1.11,0.26,1.25,1.29,1.7,3.19,1.88,1.6,1.47,0.21,3.44,1.18,1.82,1.44,,,,
May,1.35,0.21,3.12,1.28,0.67,1.3,0.79,1.87,5.16,2.95,0,0.88,2.19,2.13,0.42,4.7,,,,
June,0.2,2.79,3,0.97,3.7,4.4,2.48,2.6,2.25,4.38,2.27,1.8,3.17,1.76,2.12,1.66,,,,
July,0.32,2.81,3.44,2.08,0.5,5.51,0.76,3.5,1.03,4.25,3.77,1.23,1.83,1.63,2.22,0.13,,,,
August,1.24,1.32,1.45,1.85,1.95,1.25,2.32,3.04,4.8,5.16,1.15,5.63,1.27,0.62,1.41,1.1,,,,
September,1.04,5,1.65,2.64,2.64,1.79,3.74,0.92,0.85,1.94,4.98,1.86,3.2,3.16,2.07,5.07,,,,
October,3.34,1.74,4.82,2.07,4.35,5.47,2.36,1.86,2.87,0.86,6,0.89,5.68,1.91,0.74,4.37,,,,
November,2.03,0.35,3.6,2.12,2.6,3.31,3.38,5.39,3.38,0.73,2.02,3,2.8,3,1.49,3.89,,,,
December,2.53,1.72,4.79,0.61,3.55,0.97,7.01,1.52,1.26,0.62,2.81,2.82,2.11,0.66,2.48,1.36,,,,
Total,,23.9,36.11,20.61,25.38,32.01,30.47,32.99,26.43,29.47,28.93,24.86,29.45,24.19,21.47,32.47,,,,
,,,,,,,,,,,,,,,,,,,,
Observer lived here so must have been at Dogmersfield House Huge grounds Gauge taken to be in kitchen garden,,,,,,,,,,,,,,,,,,,,
Park itself is on a slope but the house and garden are flatter plus or minus 10ft from elevation used No elevation on sheet,,,,,,,,,,,,,,,,,,,,
1870 Total crossed out suggesting Jan Feb estimated and station started in Mar,,,,,,,,,,,,,,,,,,,,
1875 The snow in Dec could not be accurately gauged,,,,,,,,,,,,,,,,,,,,
1880 Total 28.93 printed in BR,,,,,,,,,,,,,,,,,,,,
