MORLEY-DERBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK396408,Long,-1.4118917,Lat,52.96311,Elevation,406,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,,,,,,,,,,,,,,1.71,2.8,1.15,2.55,1.67,2.56,1.62,3.21
February,,,,,,,,,,,,,,,,,,,,,,,1.1,0.62,2.47,2.06,2.54,2.03,1.86,2.18
March,,,,,,,,,,,,,,,,,,,,,,,3.69,0.43,2.42,0.87,1.84,2.06,3.17,1.99
April,,,,,,,,,,,,,,,,,,,,,,,2.31,1.38,1.98,1.21,1,3.24,1.78,1.76
May,,,,,,,,,,,,,,,,,,,,,,,3.79,0.76,1.53,2.85,1.01,2.05,1.28,4.29
June,,,,,,,,,,,,,,,,,,,,,,,2.41,5.68,1.34,1.46,4.26,2.1,0.29,1.29
July,,,,,,,,,,,,,,,,,,,,,,,2.1,1.47,0.57,2.63,2.81,2.07,0.35,0.89
August,,,,,,,,,,,,,,,,,,,,,,,1.5,2.75,0.72,6.27,5.38,4.51,3.27,1.36
September,,,,,,,,,,,,,,,,,,,,,,,4.3,2.74,2.93,0.1,4.69,3.02,2.3,5.39
October,,,,,,,,,,,,,,,,,,,,,,,2.94,3.25,2.39,4.83,2.71,3.25,3.41,1.46
November,,,,,,,,,,,,,,,,,,,,,,,0.7,1.45,2.4,2.04,3.06,1.17,1.22,1.82
December,,,,,,,,,,,,,,,,,,,,,,,1.6,1.32,1.63,0.82,2.28,1.79,7.07,4.43
Total,,,,,,,,25.59,37.56,29.13,22.85,24.72,36.36,27.79,19.55,22.74,29.6,27.59,26.6,27.44,,,28.15,24.65,21.53,27.69,33.25,29.85,27.62,30.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is the rectory to St Matthews Church Morley where the observevr, Samual Fox, was vicar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual totals included for 1847 to 1859 as a note at the bottom of the record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
