ROTHIEMURCHUS (THE POLCHAR),,,,,,,,,,,,
Grid ref,NH891096,Long,-3.835353,Lat,57.163807,,,,,,,
Station no,5693/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.91,,,,,,,,,,,
February,2.20,,,,,,,,,,,
March,1.83,,,,,,,,,,,
April,4.90,,,,,,,,,,,
May,1.07,,,,,,,,,,,
June,1.38,,,,,,,,,,,
July,4.93,,,,,,,,,,,
August,4.55,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,23.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
