ROTHIEMURCHUS (THE POLCHAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH891096,Long,-3.835353,Lat,57.163807,Elevation,775,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5693/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.74,5.1,,,,,,,,1.9,3.05,4.01,2.21,2.91,,,,,,,,,
February,,,,,,,,1.4,2.69,,,,,,,,0.6,2.54,2.21,4.1,2.2,,,,,,,,,
March,,,,,,,,1.41,2.4,,,,,,,,1.81,1.94,1.64,1.49,1.83,,,,,,,,,
April,,,,,,,,0.64,1.33,,,,,,,,4.14,2.04,2.05,3.94,4.9,,,,,,,,,
May,,,,,,,,3.03,0.74,,,,,,,,1.8,2.4,2,0.87,1.07,,,,,,,,,
June,,,,,,,,3.37,3.08,,,,,,,,4.05,4.45,1.34,2.14,1.38,,,,,,,,,
July,,,,,,,,4.19,5.55,,,,,,,,3.4,3.72,2.03,2.66,4.93,,,,,,,,,
August,,,,,,,,2.44,1.61,,,,,,,,0.27,7.24,4.23,2.3,4.55,,,,,,,,,
September,,,,,,,,2.81,2.19,,,,,,,,3.58,2.05,1.42,4.85,,,,,,,,,,
October,,,,,,,,5.71,2.99,,,,,,,,1.15,2.74,2.43,1.96,,,,,,,,,,
November,,,,,,,,4.59,3.03,,,,,,,,5.92,1.87,2.2,4.15,,,,,,,,,,
December,,,,,,,,2.27,2.5,,,,,,,2.09,1.95,4.04,5.61,2.45,,,,,,,,,,
Total,,,,,,,,35.6,33.21,,,,,,,,30.57,38.08,31.17,33.12,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5693/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
