LEINTWARDINE,,,,,,,,,,
Grid ref,SO404741,Long,-2.8766435,Lat,52.361699,Elevation,430,ft,,
Station no,2264,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,9.8,,,,
February,,,,,,0.33,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,2.34,,,,,
October,,,,,3,,,,,
November,,,,,3.31,,,,,
December,,,,,0.73,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
NGR for centre of village which was very small in 1840s; no info on record.,,,,,,,,,,
