BICESTER-ST-JOHNS,,,,,,,,,,,,,,,,,,,,
Grid ref,SP582226,Long,-1.1555564,Lat,51.898915,Elevation,240,ft,,,,,,,,,,,,
Station no,1057/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.58,3.22,3.25,2.69,4.61,2.38,2.85,2.91,3.96,1.47,1.2,1.37,,,,
February,,,,0.66,3.13,1.88,4.26,0.79,0.84,1.97,2.33,0.71,0.98,0.98,1.75,2.11,,,,
March,,,,1.86,0.69,1.89,2.91,0.25,1.73,2.81,2.51,2.14,0.79,0.25,0.86,0.93,,,,
April,,,,1.87,3.34,1.23,3.21,0.12,3.27,1.77,1.64,0.84,0.77,2.17,1.22,1.37,,,,
May,,,,0.61,1.33,0.46,2.94,2.13,1.23,1.93,2.14,3.43,2.39,1.38,3.61,3.18,,,,
June,,,,1.26,4.02,2.69,1.24,1.12,2.36,0.47,1.82,0.11,1.72,2.35,2.61,2.83,,,,
July,,,,1.29,0.53,4.24,1.46,1.48,4.66,2.6,4.63,1.87,0.66,2.4,2.06,1.44,,,,
August,,,,1.48,2.45,0.46,0.68,3.23,3.25,0.1,4.37,4.87,2.2,1.86,1.4,4.61,,,,
September,,,,2.33,3.99,2.98,3.03,2.88,0.64,1.01,0.39,0.9,2.32,2.15,1.86,4.2,,,,
October,,,,1.47,3.51,1.59,2.66,3.3,6.79,2.68,1.43,3.15,2.85,3.48,2.89,1.42,,,,
November,,,,1.94,4.08,2.29,1.33,3.24,3.89,7.56,2.65,2.48,1.52,3.44,0.3,5.21,,,,
December,,,,5.88,3.02,2.09,,2.88,1.53,1.37,1.32,3.07,0.82,1.5,3.22,2.16,,,,
Total,,,,,30.67,25.02,,24.11,34.8,26.65,28.08,26.48,20.98,23.43,22.98,30.83,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1934 Jan estimated,,,,,,,,,,,,,,,,,,,,
1937 Dec estimated,,,,,,,,,,,,,,,,,,,,
