MICHAELCHURCH (Cefn),,,,,,,,,,,,,,,,,,,,
Grid ref,SO286374,Long,-3.0421499,Lat,52.030394,Elevation,1250,ft,,,,,,,,,,,,
Station no,2225/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,4.03,6.96,4.85,,,,,,,,
February,,,,,,,,,,4.74,5.9,0.73,,,,,,,,
March,,,,,,,,,,3.14,3.94,4.73,,,,,,,,
April,,,,,,,,,,4.17,1.7,3.45,,,,,,,,
May,,,,,,,,,,3.57,3.43,5.67,,,,,,,,
June,,,,,,,,,,0.96,2.71,0.1,,,,,,,,
July,,,,,,,,,,4.07,4.18,1.75,,,,,,,,
August,,,,,,,,,2.29,0.31,4.99,2.96,,,,,,,,
September,,,,,,,,,0.98,1.87,1.66,1.58,,,,,,,,
October,,,,,,,,,6.18,7.18,2.41,,,,,,,,,
November,,,,,,,,,8.65,9.72,5.11,,,,,,,,,
December,,,,,,,,,2.24,2.75,3.25,,,,,,,,,
Total,,,,,,,,,,46.51,46.24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved to Marsh Farm 1942; station 2225/6,,,,,,,,,,,,,,,,,,,,
