KENSINGTON-HARLEY-GARDENS,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ262781,Long,-0.18375314,Lat,51.487776,Elevation,29,ft.,,,,,,,,,,,,,
Station no,22,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,2.24,1.81,2.32,1.23,2.8,1.63,2.37,1.66,3.24,0.94,2.5,1.2,1.43,1.17,1.22,1.04,3.82,,,,
February,0.55,0.22,1.88,2.77,0.54,2.65,2.87,3.39,1.34,0.47,0.6,1.68,0.27,2.06,0.29,1.83,1.39,,,,
March,1.17,1.18,1.6,2.34,0.7,0.77,0.27,2.38,1.5,0.02,1.57,0.3,1.29,2.04,1.98,0.38,1.1,,,,
April,2.8,1.36,2.86,1.51,3.11,1.7,2.93,2.06,1.35,1.23,1.45,3.8,2.44,0.74,1.8,2.74,1.42,,,,
May,1.29,1.16,0.91,2.26,2.86,1.82,2.11,1.45,2.14,1.25,3.61,2.68,4.3,2,0.48,1.3,0.54,,,,
June,2.2,0.21,1.15,0.46,2.35,0.11,3.76,2.93,2.41,0.91,1.67,1.82,0.79,2.05,1.11,3.27,3.08,,,,
July,3.88,0.23,3.69,2.93,3.27,3.61,1.79,3.49,2.12,1.06,1.81,2.57,2.8,1.85,1.94,0.87,2.54,,,,
August,1.75,1.24,1.89,1.47,2.88,2.58,1.66,3.61,2.56,2.11,2.79,4.13,1.18,0.58,1.86,2.04,0.42,,,,
September,3.3,1.91,1.7,1.24,2.64,2.28,1.37,4.45,0.89,0.14,3.83,3.61,2.31,3.1,1.3,2.51,2.5,,,,
October,1.04,0.66,0.92,5.22,3.93,2.55,2.35,1.32,3.36,2.86,1.01,0.69,5.21,1.52,0.91,2.17,1.62,,,,
November,1.14,1.9,1.25,1.3,2.42,1.69,5.02,2.52,1.83,4.95,3.77,2.13,1.26,1,1.73,3.73,2.85,,,,
December,2.01,0.99,2.94,2.15,2.71,2.44,0.31,3.82,2.44,3.78,1.73,0.65,0.47,0.4,4.2,2.4,1.82,,,,
Total,23.37,12.87,23.11,24.88,30.21,23.83,26.81,33.08,25.18,19.72,26.34,25.26,23.75,18.51,18.82,24.28,23.1,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is NW side of Harley Gardens in the rear garden behind 6 storey buildings to the NW as described on the record. Altitudes match.,,,,,,,,,,,,,,,,,,,,,
