HAMPSTEAD-BARROW-HILL-RES-2ND-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ275836,Long,-0.16305251,Lat,51.536912,Elevation,175,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,4.07,1.3,1.29,2.74,3.14,2.41,2.57,2.65,1.27,2.58,1.91,2.65,1.84,3.86,1.04,1.34,1.47,1.38,1.36,1.15,3.92,3.04,2.93,4.48,2.12
February,,,,,,3.05,3.33,0.96,1.05,2.55,0.54,0.21,2.01,2.89,0.67,2.88,2.94,3.24,1.64,0.55,1.94,0.27,1.63,0.22,2.05,1.57,4.27,0.7,0.95,1.83
March,,,,,,0.83,4.55,1.63,1.07,3.71,1.35,1.17,1.68,2.27,0.71,0.72,0.25,2.52,1.41,0,0.22,1.35,2.25,1.75,0.38,1.16,2.91,0.37,1.54,3.45
April,,,,,0.81,1.14,1.26,2.19,3.42,3.58,3.25,1.23,3.09,1.4,3.02,1.7,3.18,2.27,1.16,1.53,3.95,2.39,1.09,1.44,2.93,1.39,2.48,0.32,2.92,2.03
May,,,,,1.64,3.66,2.03,2.32,2.05,0.37,0.75,1.06,0.9,2.3,3.06,1.65,2.17,1.4,2.3,1.46,2.76,3.79,1.55,0.37,1.13,0.53,2.73,1.78,1.41,1.3
June,,,,,1.3,0.71,2.18,5.98,1.07,1.53,1.46,0.32,1.19,0.53,2.7,0.12,3.45,3.01,2.65,1.22,1.52,0.14,1.78,1.18,3.39,3.71,2.04,0.43,1.25,0.78
July,,,,,1.4,4.16,1.43,4.5,4.97,1.92,3.91,0.21,3.98,2.88,4.35,3.25,2.11,3.29,2.1,1.85,3.06,1.59,1.58,1.11,1,3.28,0.62,1.33,2.5,3.84
August,,,,,1.38,2.53,5.54,3.79,1.5,2.5,1.67,1.61,2.3,1.79,2.84,2.48,1.55,3.97,2.33,1.9,4.04,1.44,0.67,1.94,1.88,0.46,1.24,2,3.58,
September,,,,,1.07,2.11,1.57,1.99,5.68,1.39,3.08,2.37,2.03,1.36,2.75,2.4,1.32,4.62,0.75,0.27,2.71,2.45,2.9,2.52,3.12,3.4,2.52,2.58,1.81,1.18
October,,,,,1.3,2.07,3.18,3.26,1.25,0.69,1.37,0.59,1,5.75,3.73,3.1,2.2,1.3,3.54,2.63,0.66,5.47,1.6,0.95,2.36,2,2.29,3.27,5.84,
November,,,,,3.51,2.35,4.53,1.85,2.23,1.33,1.15,1.9,1.53,1.43,2.57,1.65,4.66,2.73,2.17,5.68,1.96,1.3,0.95,1.79,3.9,3.21,1.42,3.25,4.77,
December,,,,,6.49,5.54,2.56,1.11,2.33,3.48,2.19,1.14,3.16,2.39,3.22,2.72,0.25,3.41,2.68,4.16,0.77,0.37,0.37,4.78,2.35,1.85,4.08,3.42,1.18,
Total,,,,,,32.22,33.46,30.87,29.36,26.19,23.13,14.38,25.52,26.26,32.2,24.58,26.73,33.6,26.59,22.29,24.93,22.03,17.75,19.41,25.64,26.48,29.64,22.38,32.23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Barrow Hill Reservoir by Primrose Hill. Altitude on 1940s record matches earlier records have a higher altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Readings for Mar, Apr, Jul and annual total for1934 readings have been amended and there is no explanation, they have been left in this record.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
