NOTTINGHAM-TALBOT-STREET-ST-MATTHEWS-VICARAGE,,,,,,,,,,
Grid ref,SK566401,Long,-1.1589469,Lat,52.955298,Elevation,250,ft,,
Station no,RR8136,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,1.22,1.92,2.38,0.87,2.83,,,
February,,,1.65,0.91,2.48,0.8,2.51,,,
March,,,1.18,3.23,1.58,2.36,1.52,,,
April,,,1.69,1.71,1.28,1.43,0.41,,,
May,,0.88,2.04,3.6,1.57,0.49,1.67,,,
June,,1.54,1.34,2.08,0.34,2.63,1.98,,,
July,,2.58,1.18,2.35,2.12,1.25,0.54,,,
August,,1.28,4.44,5.62,2.94,3.32,1.21,,,
September,,0.94,1.22,3.01,1.94,1.51,1.04,,,
October,,1.68,2.51,6.43,0.43,1.47,4.73,,,
November,,1.67,1.08,1.97,1.13,2.7,2.74,,,
December,,5.28,1.59,0.97,1.59,0.65,2.49,,,
Total,,,21.14,33.8,19.78,19.48,23.67,,,
