MAIDSTONE-SOMERFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ750559,Long,0.50755301,Lat,51.275372,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,3.2,0.87,1.7,3.3,0.48,1.95,3.3,0.85,4.3,4.15,3.33,4.3,3.2,1.3,3.2,,,,,,,,
February,,,,,,,,0.2,0.7,1.37,1.45,2.15,0.85,0.85,1.6,1.95,5.2,1.55,1.3,3.1,0.88,1.4,,,,,,,,
March,,,,,,,,1.2,1.25,2,2.88,3.08,5.1,0.75,3.45,1.8,2.9,2.85,1.2,2.3,1.92,1.6,,,,,,,,
April,,,,,,,,1.8,1.9,2,3.3,0.9,2.05,0.86,0.39,0.2,2.5,2.05,2,1.3,0.35,2.6,,,,,,,,
May,,,,,,,,1,2.5,1.75,3.57,1.17,2.45,1.45,2.2,2.6,1.49,2.02,1,4.1,0.87,1.1,,,,,,,,
June,,,,,,,,2.1,0.6,1.88,5,1.4,2.1,4.3,1.2,1.72,2.95,1.43,0.5,1,0.12,2.6,,,,,,,,
July,,,,,,,,0.63,3.2,2.85,1.7,3.08,1.3,0.7,0.5,3.98,2.5,5.75,0.4,0.2,1.4,3.2,,,,,,,,
August,,,,,,,,3.45,1.68,1.92,4.03,0.92,2.65,1.2,1.68,3.9,2,1.4,2.6,1.25,2.4,1.3,,,,,,,,
September,,,,,,,,4.57,0.97,3.15,3.42,2.15,2.33,3.97,3.15,0.13,5.88,1.52,2.5,4.03,2.02,4.25,,,,,,,,
October,,,,,,,2.23,3.33,1.95,4.08,1.98,1.2,4.5,1.83,1.5,8.68,1.47,2.25,,2.22,3.8,1.2,,,,,,,,
November,,,,,,,1.3,1.47,1,3.48,3,6.4,1.3,1.9,4.5,3.13,1.9,1.1,3.2,1.9,1.8,0.8,,,,,,,,
December,,,,,,,2.57,0.45,2.18,4.1,2.5,1.95,2.17,2.1,0.8,2.17,2.23,1.9,6.1,3.83,3,1.6,,,,,,,,
Total,,,,,,,,23.4,18.8,30.28,36.13,24.88,28.75,23.21,21.82,34.56,35.17,27.15,,28.43,19.86,24.85,,,,,,,,
