HYTHE-DIBDEN-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU397086,Long,-1.437,Lat,50.87575,Elevation,85,ft,,,,,,,,,,,,,
Station no,646,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,4.06,5.39,1.5,2.98,4.87,5.49,2.56,6.58,1.37,5.48,2.4,2.58,2.56,3.17,0.81,,,,,
February,,0.39,3.32,6.13,0.26,5.02,2.34,4.43,2.66,1.07,1.03,2.35,0.09,3.68,0.12,3.7,,,,,
March,,1.45,2.51,1.82,1.53,0.42,0.71,3.49,3.3,0.18,1.7,1.15,1.58,3.85,3.5,0.91,,,,,
April,,1.01,3.57,3.19,3.52,2.93,3.68,2.24,1.98,1.06,2.76,3,3.19,1.11,2.22,3.24,,,,,
May,,1.53,0.87,1.85,4.51,5.71,1.76,0.71,1.54,2.16,2.84,3.09,5.76,1.68,0.9,0.96,,,,,
June,,0.29,1.83,0.37,2.93,0,2.98,2.76,2.12,1.44,0.89,2.72,1.88,1.17,1.35,4.26,,,,,
July,,1.11,5.07,0.69,3.86,2.73,1.83,2.55,1.78,2.06,2.19,3.61,3.44,2.01,1.08,2.65,,,,,
August,,1.73,3.3,2.41,3.3,4.08,1.29,4.51,2.66,1.93,4.13,3.36,1.48,0.94,3.74,3.2,,,,,
September,,0.85,2.05,2.44,5.55,2.67,0.55,6.52,1.28,0.37,3.61,2.1,3.91,3.32,2.86,,,,,,
October,,0.79,1.3,5.19,4.75,4.8,2.92,2.32,7.87,5.17,2.51,0.62,6.48,2.06,1.75,,,,,,
November,,2.14,2.62,2,2.87,3.56,8.17,3.42,3.13,9.13,6.51,4.1,2.27,0.77,2.85,,,,,,
December,,2.05,5.81,3.6,6.56,4.66,0.47,4.23,3.06,7.7,4.34,0.75,1.61,0.82,9.85,,,,,,
Total,,17.4,37.64,31.19,42.62,41.45,32.19,39.74,37.96,33.64,37.99,29.25,34.27,23.97,33.39,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1926 Jan 1 Gauge moved 60yds and 7ft lower than old site,,,,,,,,,,,,,,,,,,,,,
1928 Total incorrectly transcribed,,,,,,,,,,,,,,,,,,,,,
1935 Sept Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1935 Sept Observer moving to Harptree Somerset,,,,,,,,,,,,,,,,,,,,,
