PORTSMOUTH-SOUTHSEA-COMMON (PORTSMOUTH-VICTORIA-PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU639003,Long,-1.0936,Lat,50.799,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,3.06,2.37,0.88,1.73,4.39,3.19,0.7,2.71,0.45,2.78,4.54,1.17,0.91,2.12,3.95,1.08,7.14,0.79,0.92,0.85,3.14,0.92,3.6,4.34,0.62,4.48,0.95,1.11,3.62,5.5,3.69,3.15,4.29,1.52,2.67,4.5,4.37,2.27,4.7,1.35,4.21,2.16,2.8,2.07,2.29,0.65,4.61,6.2,3.54,4.89,3,4.12,2.76,5.51,1.94,1.85,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,0.4,0.03,0.93,2.95,2.21,0.02,0.33,3.31,2.13,3.07,5.25,1.42,1.63,1.61,3.72,0.51,3.25,1.06,0.99,0.27,3.53,1.44,1.91,1.17,4.41,5.14,4.42,1.22,0.97,2.55,0.5,0.44,2.82,4.88,0.41,4.75,1.89,4.15,1.75,1.25,1.41,1.59,0.18,3.3,0.02,3.81,2.81,4.69,0.54,1.43,3.81,2.55,0.59,1.41,0.72,1.53,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.94,2.31,0.96,0.49,1.48,1.64,3.02,4.69,0.58,0.67,1,2.23,2.03,2.46,1.03,4.43,1.21,0.34,2.45,3.93,1.12,1.58,3.79,2.75,4.73,0.78,3.46,2.55,0.92,4.35,1.94,1,2.04,1.67,1.43,0.54,0.38,2.62,1.92,0.12,2.32,1.13,1.43,2.87,3,0.82,1.85,3.6,0.44,1.12,2.64,3.56,2.69,0.67,0.18,0.6,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.72,0.97,0.76,0.04,1.83,2.18,0.64,1.63,1.15,2.46,1.36,2.34,1.28,2.5,1.38,1.57,0.68,3.48,2.15,1.36,1.7,1.52,0.12,2.65,1.47,1.28,0.84,1.97,2.16,1.84,2.23,1.07,3.5,3.19,2.46,2.4,2.72,1.79,1.87,0.84,2.28,3.04,2.24,1.28,2.09,2.93,1.78,2.01,0.02,2.44,1.32,1.77,1.48,0.84,1.46,1.1,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.01,2.31,0.99,0.78,1.02,0.19,0.53,1.39,3.16,0.71,0.93,0.58,2.08,2.49,4.02,0.41,1.6,2.57,1.41,1.28,1.42,1.53,1.08,2.45,1.22,3.52,1.3,2.13,1.36,0.3,1.36,1.05,0.59,2.89,2.92,4.14,1.76,0.73,1.41,1.96,1.35,3.33,4.17,1.94,1.2,0.79,0.12,1.04,1.62,1.12,0.63,1.58,2.81,2.56,0.51,2,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.64,2.27,1.92,1.32,1.77,0.75,1.44,2.8,1.5,0.81,1.69,2.62,2.87,2.19,0.87,3.93,1.52,2.04,0.68,3.9,1.76,1.56,3,0.43,1.37,0.7,1.47,2.88,0.87,0.77,2.23,0.05,1.55,0.32,3.28,0,2.56,2.71,2.11,1.31,0.71,1.53,1.5,1.18,0.98,2.26,2.81,1.09,0.48,1.12,0.17,1.22,0.51,1.2,1.43,1.97,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3.27,1.71,2.8,3.62,4.79,3.58,0.78,0.63,0.3,3.47,1.1,2.89,1.77,2.61,1.26,0.25,0.43,1.14,1.31,2.04,2.16,0.64,1.7,1.64,2.27,3.38,0.63,2.35,2.42,0.84,5.18,0.28,3.19,0.75,2.62,3.57,1.13,2.28,1.52,1.68,1.55,3.13,2.47,1.36,0.89,1.54,3.35,1.41,1.28,2.18,2.85,2.24,1.3,2.77,2.6,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3.17,5.01,2.86,0.58,1.79,2.75,1.63,3.65,1.52,0.81,2.04,1.38,4.13,4.33,2.39,2.48,0.86,0.88,2.33,2.52,2.6,1.79,5.87,1.78,1.58,1.19,1.34,5.03,2.28,2.73,0.92,1.9,3,1.89,2.61,4.87,1.15,2.27,2.64,1.69,3.66,2.74,0.93,0.58,2.83,3.27,0.14,1.19,2.15,1.36,0,4.21,2.13,1.13,1.98,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.62,1.26,2.62,1.88,3.03,0.81,8.51,2.82,1.05,2.36,0.29,2.25,0.51,2.99,1.76,2.38,1.43,0.53,1.05,3.56,0.09,1.15,2.62,2.82,1.13,3.06,1.78,1.12,5.52,1.72,1.89,0.67,1.69,2.13,5.73,2.31,0.52,5.79,1.2,0.44,2.77,1.86,2.81,3.38,2.18,4.2,3.03,2.27,1.59,0.72,1.5,0.96,1.67,1.27,1.48,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,0.97,6.49,3.76,4.94,5.35,4.23,2.96,0.39,3.38,2.55,3.5,3.08,1.85,7.9,2.06,1.88,4.86,6.99,2.37,7.57,5.06,4.88,2.91,4.8,2.78,3.5,4.28,3.82,1.23,0.65,3.13,0.78,1.07,5.79,5.34,3.27,2.65,1.63,7.05,3.61,2.92,0.57,6.23,1.86,1.84,4.86,0.74,2.69,3.57,6.26,3.72,0.92,3.15,2.27,3.95,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
