"SOUTHSEA (SOUTHSEA COMMON)",,,,,,,,,,,,
Grid ref,SZ637991,Long,-1.097697,Lat,50.787980,,,,,,,
Station no,675,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.23,2.27,1.12,2.16,3.43,4.38,2.06,4.01,3.23,3.85,,
February,5.69,0.61,1.20,2.48,1.61,0.10,4.25,2.75,0.15,2.98,,
March,3.93,2.53,0.38,3.18,1.20,0.25,1.57,1.31,2.11,1.75,,
April,2.22,1.20,1.27,0.31,0.28,1.73,0.12,0.62,1.76,0.88,,
May,2.19,2.00,2.34,2.31,3.54,0.62,0.80,2.53,0.25,1.60,,
June,1.65,1.47,1.40,2.74,2.71,1.75,1.75,2.81,0.47,1.90,,
July,2.30,0.25,2.50,3.01,1.07,2.07,3.53,1.88,2.57,2.72,,
August,3.84,2.18,1.57,3.10,1.02,4.89,1.93,3.67,2.51,5.72,,
September,3.06,5.01,2.61,2.39,1.71,2.37,2.75,4.00,0.13,5.37,,
October,1.42,3.70,3.05,2.15,2.30,1.13,1.71,2.33,2.57,7.58,,
November,7.02,4.30,1.63,5.48,1.82,0.61,2.67,2.10,3.78,5.81,,
December,2.69,2.62,0.65,3.42,3.92,4.21,1.78,3.66,7.11,3.79,,
Total,39.24,28.14,19.72,32.73,24.61,24.11,24.92,31.67,26.64,43.95,,
Calc annual,39.24,28.14,19.72,32.73,24.61,24.11,24.92,31.67,26.64,43.95,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
