TEIGNMOUTH-LANDSCORE-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX935733,Long,-3.5043,Lat,50.5498,Elevation,132,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,7.78,1.91,7.01,1.2,2.12,2.1,4.08,4.79,3.12,7.71,3.34,1.08,0.83,8.61,,1.69,3.34,,,,,,
February,,,,,,,,1.22,2.25,6.61,5.25,5.41,2.81,7.02,6.66,5.77,1.88,0.91,0.6,2.18,2.01,,1.83,5.18,,,,,,
March,,,,,,,,2.92,1.74,0.65,3.69,5.02,1.08,1.78,3.81,1.56,4.79,1.73,5.87,4.53,1.83,,1.11,0.03,,,,,,
April,,,,,,,,6.12,5.27,4.18,2.37,0.82,6.65,1.1,2.52,4.74,2.41,0.92,1.88,1.69,3.71,,0.71,0.34,,,,,,
May,,,,,,,,4.05,4.51,2.93,1.15,0.71,1.55,2.05,1.59,3.2,5.2,1.71,2.38,2.43,2.31,,0.67,1.31,,,,,,
June,,,,,,,,1.37,2.62,7.86,2.22,3.84,3.49,3.63,2.1,1.13,0.97,0.03,1.93,1.06,2.33,,1.67,0.68,,,,,,
July,,,,,,,,2.25,1.53,3.42,3.05,2.05,4.23,3.56,2.71,0.16,3.4,1.52,8.01,5.53,2.71,,1.46,4.32,,,,,,
August,,,,,,,,4.09,3.87,5.28,0.72,5.5,2.12,0.59,0.89,2.42,1.79,1.2,2.54,2.29,3.99,,3.86,1.01,,,,,,
September,,,,,,,,2.41,1.79,3.28,3.74,3.1,4.13,6.38,1.53,4.04,1.71,2.54,0.77,1.56,1.13,,1.97,1.6,,,,,,
October,,,,,,,,2.41,3.72,0.91,9.17,5.71,7.96,3.46,0.75,7.02,6.68,3.14,1.69,5.33,0.65,,4.82,2.35,,,,,,
November,,,,,,,,6.84,3.48,0.24,4.52,6.97,4.16,4.56,1.46,5.13,3.54,4.7,10.83,2.1,4.37,,3.11,2.4,,,,,,
December,,,,,,,,2.13,4.2,1.36,4.69,4.17,4.87,0.71,4.03,3.03,8.54,3.47,4.13,2.78,5.2,,1.24,5.14,,,,,,
Total,,,,,,,,43.59,36.89,43.73,41.77,45.42,45.15,38.92,32.84,41.32,48.62,25.21,41.71,32.31,38.85,,24.14,27.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875 and part of 1876 Gauge at Dr Lakes house and observations unsatisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For readings at Dr Lakes house see TEIGNMOUTH-BITTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 Gauge leaking and believed to have been for some years - total much too large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892 records start again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
