JERSEY ST LOUIS (new gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,WV661491,Long,-2.0956,Lat,49.1911,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,5.28,2.92,3.78,3.73,2.06,2.65,3.19,1.16,6.64,5.09,5.3,5.3,3.05,3.71,4.35,4.72,2.33,3.61,2.44,3.41,5.59,1.68,1.74,2.88,4.96,0.81,2.95,3.57,5.71,1.99,5.93,4.93,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,4.19,1.76,2.45,3.94,0.49,4.43,0.27,4.46,2.74,6.51,1.65,1.61,3.76,3.84,0.59,1.99,1.27,2.91,2.32,1.43,1.09,0.51,4.95,3.66,1.46,1.47,2.55,3.77,0.67,6.71,4.28,0.12,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.55,0.05,2.78,2.56,2.42,1.42,4.14,0.94,1.85,3.84,0.31,2.12,3.8,3.43,2.46,0.79,0.26,0.46,1.42,5.21,0.98,1.44,1.25,3.36,4.02,0.28,3.16,1.56,0.8,1.87,3.22,1.85,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.41,1.94,4.42,1.93,2.65,1.61,1.88,3.24,1.63,2.37,0.09,1.65,1.43,2.93,1.23,1.2,3.07,0.87,2.26,2.72,2.16,0.78,1.93,2.03,1.75,3.24,0.93,0.32,0.89,0.82,0.69,3.57,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,5.22,1.76,2.29,1.88,3.15,2.72,0.8,2.03,1.04,2.57,0.67,0.74,1.56,1.87,5,1.93,0.41,1.84,2.81,1.25,1.8,1.27,2.2,3.63,0.93,1.56,1.26,2.33,1.17,0.93,3.28,1.86,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.19,3.39,0.65,1.48,1.52,2.71,1.23,3.7,2.15,0.96,0.28,2.39,0.26,2.23,0.78,0.9,1.67,1.85,1.78,2.98,1.42,0.4,1.46,1.56,0.37,1.16,1.78,2.11,1.71,1,3.23,0.55,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.61,1.5,3.69,2.59,1.21,2.46,0.48,0.98,3.57,1.26,1.67,3.02,5.44,1.97,2,2.73,2.83,2.81,2.12,1.24,1.32,0.3,3.2,1.38,1.09,2.41,2.4,1.51,1.94,2.02,1.06,0.79,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.29,1.31,2.74,8.62,0.81,2.15,4.41,2.36,0.89,1.04,2.38,1.32,0.02,8.43,3.75,1.81,1.77,2.7,4.92,1.27,2.86,1.02,3.61,5.11,3.18,1.48,3.27,0.67,5.66,2.76,3.98,1.79,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,2.06,5.04,3.28,2.51,4.15,2.5,2.35,3.22,2.65,3.5,2.85,0.73,1.88,0.48,3.89,3.06,1.87,1.96,2.57,1.91,1.5,2.26,5.24,4.62,8.01,2.24,3.98,2.95,2.11,3.11,2.09,0.59,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,6.34,6.24,4.13,0.67,6.39,3.24,3.28,4.52,1.51,3.51,4.47,5.45,2.99,1.69,3.26,3.21,5.25,2.01,1.08,1.4,2.64,6.81,2.73,0.9,5.06,1.98,2.6,3.65,2.31,1.28,4.41,3.65,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
