HOLME WOLD HOUSE,,,,,,,,,,,,,,,,
Grid ref,SE951467,Long,-0.554,Lat,53.908,Elevation,154,ft,,,,,,,,
Station no,RR4287,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888
January,,1.34,1.67,0.87,3.08,1.93,1.51,0.68,0.72,2.16,2.73,2.70,2.10,4.02,1.56,0.58
February,,1.98,1.19,1.50,2.45,1.26,3.70,2.15,3.10,0.91,2.78,2.20,2.35,0.71,0.57,1.44
March,,1.04,0.93,3.36,2.39,0.98,1.62,1.28,3.22,3.24,1.18,1.66,1.70,2.80,0.90,2.77
April,,1.96,0.51,1.87,2.92,1.62,1.44,2.38,1.58,4.54,1.81,1.84,1.72,1.94,1.26,2.13
May,,1.25,1.50,0.87,1.16,3.38,2.36,1.87,1.29,1.52,2.11,0.88,2.20,3.64,1.79,0.77
June,,0.39,0.92,1.61,1.95,2.32,3.05,,1.25,4.26,3.58,0.61,2.64,0.69,0.00,2.53
July,,0.97,3.95,1.55,2.23,0.92,3.70,,1.51,3.04,4.28,1.97,1.99,3.00,1.31,4.98
August,2.11,2.04,2.93,2.02,4.30,4.26,3.20,,4.36,2.27,1.51,0.51,1.61,2.10,1.69,2.77
September,2.14,1.24,2.59,3.48,3.40,2.02,2.11,,2.20,1.20,4.39,1.49,2.68,1.02,3.23,1.63
October,2.97,1.91,5.60,2.64,2.57,2.19,0.91,,3.49,5.03,2.13,0.68,5.68,2.26,2.19,0.95
November,1.75,3.48,5.27,3.83,1.32,4.17,1.51,,2.67,3.39,1.71,0.86,2.49,1.50,1.87,3.18
December,0.21,2.14,0.87,6.28,2.10,1.94,0.68,,2.29,4.50,2.41,2.55,0.60,3.85,1.11,1.57
Total,,19.74,27.93,29.88,29.87,26.99,25.79,,27.68,36.06,30.62,17.95,27.76,27.53,17.48,25.30
,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt2/015,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt1/016,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
# The Harland family lived at Holme Wold House,,,,,,,,,,,,,,,,
