RADSTOCK-CAMERTON-COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST687576,Long,-2.4503,Lat,51.3171,Elevation,340,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,0.67,2.18,0.75,6.35,4.69,2.69,2.01,4.12,3.46,0.7,6.14,1.74,1.8,1.57,4.19,1.59,,,,,,,,
February,,,,,,,0.52,3.39,2.34,4.69,7.11,1.01,1.24,2.86,5.02,1.03,3.01,2.24,1.93,0.73,5.66,2.16,,,,,,,,
March,,,,,,,4.04,4.64,0.88,1.18,1.99,4.3,2.66,5.82,2.03,5.63,2.46,1.22,3.89,3.88,1.36,4.02,,,,,,,,
April,,,,,,,0.86,3.27,1.96,3.73,1.77,3.63,1.48,3.19,2.51,2.32,1.22,4.14,3.03,,3.03,1.48,,,,,,,,
May,,,,,,,0.23,0.83,3.89,2.16,3,1.41,2.02,4.68,2.62,0.56,2.98,3.87,1.24,,1.93,1.45,,,,,,,,
June,,,,,,,1.38,3.86,2.31,1.44,2.34,1.19,3.79,4.56,1.77,3.39,2.97,3.04,0.64,2.98,5.32,1.57,,,,,,,,
July,,,,,,,1.44,1.4,0.52,0.69,1.02,4.06,1.57,3.36,2.83,1.24,1.51,2.43,3.45,2.74,3.4,0,,,,,,,,
August,,,,,,,2.1,6.32,2.88,0.89,4.91,1.61,3.14,5.91,3.05,3.56,2.99,1.74,4.04,2.92,5.98,1.76,,,,,,,,
September,,,,,,,6.88,2.9,1.51,3.52,0.79,2.63,1.58,3.56,1.72,1.77,1,0.78,5.01,4.09,0.3,1.39,,,,,,,,
October,,,,,,,3.49,2.32,4.14,4.1,4.46,2.3,2.45,8.61,1.69,2.01,5.58,5.61,1.79,6.84,4.88,3.2,,,,,,,,
November,,,,,,,1.12,1.42,3.99,4.18,3.56,0.76,3.38,2.58,2.42,4.09,3.88,3.08,1.29,1.53,6.29,5.28,,,,,,,,
December,,,,,,,7.28,7.3,4.82,3.06,,7.43,2.88,4.25,2.38,1.52,2.32,5.9,3.23,4.88,8.57,9.12,,,,,,,,
Total,,,,,,37.6,30.01,39.83,29.99,35.99,,33.02,28.2,53.5,31.5,27.82,36.06,35.79,31.34,,50.91,33.02,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900 Dec 30 Rain gauge overflowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909 Apr 2in short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909 May No reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
