"UPPER GATTON",,,,,,,,,,,,
Grid ref,TQ269540,Long,-0.182277,Lat,51.271031,,,,,,,
Station no,RR4118,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.00,1.30,1.07,2.83,4.94,1.46,6.04,1.18,2.03,1.50,,
February,5.89,1.74,1.29,2.16,3.62,1.01,2.85,2.01,1.38,0.61,,
March,0.92,2.36,1.88,3.66,1.75,4.01,1.73,1.27,3.26,3.69,,
April,1.31,2.41,0.86,2.48,1.83,1.73,0.55,4.12,3.26,2.42,,
May,1.50,1.13,2.56,3.09,2.53,0.86,1.79,2.42,2.41,1.71,,
June,2.98,1.69,3.79,5.88,1.14,5.46,2.58,1.90,1.95,3.18,,
July,1.06,1.94,1.78,4.21,1.29,0.46,0.54,1.62,3.78,4.19,,
August,3.72,2.54,3.27,5.01,1.80,2.61,1.31,2.91,4.52,2.72,,
September,1.38,1.90,0.54,3.43,1.45,2.68,2.04,0.61,1.74,3.67,,
October,2.22,3.80,2.57,7.23,2.45,1.59,4.24,4.11,2.60,5.11,,
November,3.01,0.79,2.54,2.94,1.61,4.70,5.57,3.12,1.28,1.05,,
December,3.50,5.05,1.62,2.33,3.35,0.88,2.27,3.53,2.69,4.40,,
Total,31.49,26.65,23.77,45.25,27.76,27.45,31.51,28.80,30.90,34.25,,
Calc annual,31.49,26.65,23.77,45.25,27.76,27.45,31.51,28.80,30.90,34.25,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
