STRATHYRE,,,,,,,,,,,,
Grid ref,NN560168,Long,-4.330029,Lat,56.321640,,,,,,,
Station no,5524/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.79,8.51,2.78,6.83,6.08,6.03,11.92,9.67,3.76,5.96,,
February,6.90,1.72,2.25,8.51,3.58,2.40,10.73,3.99,1.62,9.61,,
March,5.08,8.25,2.01,7.53,2.19,4.80,11.87,3.33,6.85,3.75,,
April,7.38,4.67,6.14,2.84,3.80,2.00,3.82,3.08,6.19,9.96,,
May,2.56,2.46,4.52,6.18,5.33,4.59,4.61,4.91,1.45,4.78,,
June,3.36,3.35,3.67,3.84,3.12,5.78,2.03,4.56,3.67,2.91,,
July,4.27,3.03,5.74,3.34,1.29,8.36,5.45,6.55,5.56,5.76,,
August,8.05,4.49,2.80,6.68,1.51,6.98,5.50,8.17,3.45,5.63,,
September,6.08,2.93,7.76,9.60,4.86,9.10,5.99,6.29,1.57,4.43,,
October,2.34,8.20,6.76,12.51,6.21,4.93,7.09,7.12,8.17,7.39,,
November,13.75,3.10,15.77,18.25,4.01,3.41,3.18,3.80,10.99,12.77,,
December,9.64,6.32,9.45,13.77,15.45,17.16,17.12,14.62,15.98,10.49,,
Total,76.20,57.03,69.65,99.88,57.43,-999.00,89.31,76.09,69.26,83.44,,
Calc annual,76.20,57.03,69.65,99.88,57.43,75.54,89.31,76.09,69.26,83.44,,
Difference,0.00,0.00,0.00,-0.00,0.00,-1074.54,-0.00,0.00,0.00,0.00,,
