SOUTHWELL-ELMFIELD (MONTHLY 2),,,,,,,,,,,
Grid ref,SK704540,Long,-0.950539,Lat,53.078596,Elevation,132,ft,,,
Station no,2620,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.6,1.35,2.06,1.59,,,,,
February,,,2.5,3.75,0.82,2.13,,,,,
March,,,1.71,1.16,1.25,0.58,,,,,
April,,0.85,3.04,1.61,1.59,1.54,,,,,
May,,2,0.97,2.49,2.93,2.76,,,,,
June,,1.2,1.35,0.73,1.49,0.09,,,,,
July,,0.51,4.27,3.94,2.69,0.68,,,,,
August,,3.13,5.77,2.6,2.49,1.44,,,,,
September,,0.84,2.18,2.16,2.74,3.3,,,,,
October,,2.71,0.81,1.55,4.32,3,,,,,
November,,1.7,1.35,2.01,1.51,2.16,,,,,
December,,1.78,3.21,2.56,2.86,2.09,,,,,
Total,,,29.76,25.91,26.75,21.36,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
