HUNTINGDON-BRAMPTON-THE-LILACS,,,,,,,,,,,
Grid ref,TL212707,Long,-0.22319215,Lat,52.321027,Elevation,45,ft,,,
Station no,RR6608,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.22,1.07,2,0.95,3.29,1.84,3.84,1.37,
February,,,1.62,2.71,0.63,2,2.36,2.34,1.11,0.79,
March,,,1.47,2.44,0.5,1.08,0.42,1.72,1.47,0.04,
April,,,3.36,1.16,2.77,1.22,3.82,1.57,0.78,1.54,
May,,,1.24,1.01,2.73,1.9,2.46,0.61,1.45,0.91,
June,,,1,0.52,1.76,0.25,2.23,2.47,2.21,0.88,
July,,,3.15,2.24,3.57,1.7,2.16,2.11,2.05,,
August,,,2.04,2.07,1.36,2.04,0.94,2.51,1.8,,
September,,,2.16,2.49,2.14,2.38,2.16,4.05,0.52,,
October,,,0.45,2.98,3.63,3.18,2.08,1.64,2.52,3.3,
November,,1.35,1.06,1.2,2.06,1.55,2.9,2.33,2,4.35,
December,,1.07,1.79,2.26,1.87,2.41,0.42,2.65,2.26,,
Total,,,21.56,22.15,25.02,20.66,25.24,25.84,22.01,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1921 Oct estimated,,,,,,,,,,,
1929 Jul Aug Sep Dec estimated,,,,,,,,,,,
