Rainfall at,RUNCORN WESTON POINT
,
Station no,2734,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.28,3.77,4.18,1.86,2.70,1.93,2.58,3.94,5.65,2.03,4.01,
February,2.35,0.16,2.93,4.76,0.84,4.69,3.28,1.19,2.48,1.08,0.26,
March,5.41,1.49,1.96,1.50,0.97,0.84,1.05,3.40,1.80,0.57,3.24,
April,4.25,1.08,2.93,2.70,2.27,1.75,0.82,2.57,0.84,0.88,2.07,
May,5.08,1.80,0.82,4.27,5.80,3.16,3.71,1.34,1.29,1.87,0.86,
June,2.93,0.37,1.99,0.68,2.48,0.02,1.73,4.69,5.95,1.73,1.08,
July,5.66,0.74,3.80,4.32,4.44,2.30,3.97,2.27,2.05,2.22,5.18,
August,1.55,4.26,3.48,3.84,5.57,3.19,2.97,5.23,3.73,3.52,4.36,
September,2.92,0.96,3.50,3.60,3.96,4.56,3.69,6.64,1.23,1.38,2.96,
October,1.29,2.28,0.37,4.34,4.19,4.49,3.81,2.56,3.45,5.21,4.92,
November,0.70,1.99,1.47,3.47,1.50,3.04,5.27,3.82,3.84,5.47,3.75,
December,2.12,3.38,4.18,4.49,3.09,2.41,1.09,1.71,2.21,4.16,4.70,
Total,37.54,22.28,31.61,39.83,37.81,32.38,33.97,39.36,34.52,30.12,37.39,
Calc annual,37.54,22.28,31.61,39.83,37.81,32.38,33.97,39.36,34.52,30.12,37.39,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
