SILLOTH AIRFIELD,,,,,,,,,,,,
Grid ref,NY125537,Long,-3.364999,Lat,54.870388,,,,,,,
Station no,3617/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.49,2.42,1.31,3.00,2.67,2.90,4.50,2.93,1.53,5.21,,
February,2.97,0.53,0.97,2.71,1.30,0.42,2.43,2.83,1.02,2.70,,
March,2.74,1.26,0.59,1.96,1.60,1.19,2.88,1.22,1.51,0.87,,
April,2.28,2.23,3.29,0.81,1.59,0.91,1.12,1.32,2.59,2.04,,
May,1.63,3.65,2.13,3.34,2.53,1.67,2.31,3.01,1.13,1.73,,
June,0.77,3.03,1.07,3.74,3.32,1.39,1.46,2.73,3.69,1.10,,
July,2.91,2.03,6.13,3.44,2.22,4.69,3.26,3.54,3.38,3.63,,
August,3.04,4.10,4.57,5.22,1.77,7.81,3.10,3.13,0.72,4.22,,
September,4.39,2.12,3.70,4.65,1.92,3.21,4.26,3.04,2.38,2.37,,
October,0.77,3.18,1.74,8.71,1.65,2.56,3.74,3.48,4.57,1.98,,
November,5.46,2.04,5.72,-999.00,1.19,0.91,1.37,1.38,5.16,5.21,,
December,4.95,3.33,1.67,3.64,4.66,4.03,2.69,2.61,4.63,4.24,,
Total,35.40,29.92,32.89,47.04,26.42,31.69,33.12,31.22,32.31,35.30,,
Calc annual,35.40,29.92,32.89,41.22,26.42,31.69,33.12,31.22,32.31,35.30,,
Difference,0.00,0.00,0.00,5.82,0.00,0.00,-0.00,0.00,0.00,-0.00,,
