HOLT-BRINTON-GRANGE,,,,,,,,,,
Grid ref,TG039358,Long,1.0288027,Lat,52.880997,Elevation,140,ft,,
Station no,1444/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.11,3.09,1.24,1.94,2.1,2.93,1.82,2,3.33,3.74
February,2.36,1.16,2.03,2.1,2.88,1.65,2.17,3.46,0.18,1.94
March,3.24,2.73,1.05,2.29,1.7,0.82,1.67,1.1,0.72,0.91
April,3.39,2.09,2.2,0.28,0.8,1.14,0.45,1.02,1.9,0.73
May,2.37,1.17,1.51,1.86,2.62,0.57,1.54,2.99,0.85,0.36
June,1.47,0.47,3.7,2.72,2.05,2.17,2.29,2.87,1.12,1.14
July,2.18,1.63,2.34,2.77,0.84,2.65,3.83,7.33,4.1,2.57
August,3.11,2.13,2.41,4.29,1.11,3.74,2.29,2.94,1.76,3.29
September,2.02,3.71,1.26,2.31,1.92,1.44,4.3,2.52,0.1,4.2
October,0.85,2.77,2.34,2.35,3.27,3.37,1.26,2.69,2.08,4.22
November,3.14,4.36,1.45,3.9,1.1,1.72,2,1.29,2.35,3.08
December,1.21,3.02,1.4,1.84,1.75,1.15,2.82,2.85,3.09,4.02
Total,28.45,28.33,22.93,28.65,22.14,23.35,26.44,33.06,21.58,30.2
