CROYDON-WADDON-NEW-ROAD-(DINGWALL-RD),,,,,,,,
Grid ref,TQ326659,Long,-0.09507,Lat,51.37739,Elevation,195,ft
Station no,RR4168,,,,,,,
,,,,,,,,
,1887,1888,1889,1890,,,,
January,1.66,0.88,1.11,2.38,,,,
February,0.44,0.92,2.21,0.87,,,,
March,1.85,2.96,2.06,2.17,,,,
April,1.61,1.87,2.05,1.92,,,,
May,1.49,0.88,2.9,1.48,,,,
June,1.06,2.52,1.4,2.37,,,,
July,1.32,7.73,2.94,4.02,,,,
August,2.48,2.16,2.22,2.24,,,,
September,2.12,0.81,0.99,0.54,,,,
October,1.68,1.38,4.14,1.11,,,,
November,4.7,3.91,0.79,1.79,,,,
December,1.36,1.37,1.36,0.67,,,,
Total,21.77,27.39,24.17,21.56,,,,
,,,,,,,,
1887 Jan 1 Gauge moved to 50 Dingwall Rd 0.5 miles NNE,,,,,,,,
1889 Dec Observer given permission to move gauge to his new house at 33 Limes Rd 0.6 miles NNE ,,,,,,,,
1890 Elevation at Limes Rd same as for Dingwall Rd,,,,,,,,
1891 Jan 1 Gauge moved 1 mile SW to Waddon New Road,,,,,,,,
