CROYDON-WADDON-NEW-ROAD-(HIGH-ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ323651,Long,-0.09981,Lat,51.36999,Elevation,152,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881
January,,,,,,,,,,,,,,,,,,,,,,,,,1.34,3.45,4.51,2.24,4.31,2.91,1.43,2.87,5.54,4.08,1.15,3.49,1.04,5.53,1.02,2.6,0.4,1.61
February,,,,,,,,,,,,,,,,,,,,,,,,,1.32,1.82,5.11,1.24,1.22,2.46,1.72,1.19,1.07,1.69,1.83,1.04,2.05,1.7,1.35,3.43,2.61,2.95
March,,,,,,,,,,,,,,,,,,,,,,,,,2.95,1.05,2.08,2.58,1.08,1.52,1.84,1.5,2.13,1.55,0.55,0.65,2.57,2.15,1.36,0.53,0.55,1.4
April,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,0.64,0.27,2.04,1.75,1.92,1.16,0.42,3.23,1.23,0.63,1.87,1.74,1.67,4.1,3.57,2.63,1.78,0.42
May,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,1.69,3.4,2.17,1.52,0.76,3.2,0.86,1,3.05,1.21,0.86,0.95,0.93,2.38,3.44,3.67,0.34,0.86
June,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,0.8,1.99,3.05,1.85,0.35,1.34,0.2,2.68,1.96,3.41,2.54,2.26,0.99,0.87,3.69,3.78,3.34,1.67
July,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,0.99,3.33,1.48,4.21,2.23,0.66,2.34,2.89,3.29,2.27,1.18,4.5,0.34,2.58,0.69,3.76,2.8,1.64
August,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,1.19,3.69,3.16,2.08,2.98,1.24,1.86,0.81,2.24,2.53,2.41,0.9,2.75,2.7,5.39,4.37,0.43,3.88
September,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,3.29,0.27,4.07,2.57,1.71,3.32,2.44,5,1.63,2.3,2.49,2.9,3.07,1.65,0.94,3.26,4.59,1.88
October,,,,,,,,,,,,,,,,,,,,,,,,,1.26,7.2,1.33,1.89,2.37,1.66,4.24,1.17,5.24,3.14,4.83,4.07,1.31,1.97,2.29,0.67,7.77,2.38
November,,,,,,,,,,,,,,,,,,,,,,,,,3.46,3.14,1.38,0.62,1.15,2.53,1.89,0.55,3.5,2.54,2.59,3.15,2.67,4.94,3.63,1.36,2.21,
December,,,,,,,,,,,,,,,,,,,,,,,,,0.53,1.8,2,1.61,4.5,3.04,3.03,1.65,4.39,0.36,1.8,1.22,7.43,1.61,1.34,0.89,2.81,
Total,,,,,,,,,31.21,22.92,17.81,21.01,33.92,30.51,16.02,23.26,23.95,24.88,18.09,31.82,33.82,,,,19.46,31.41,32.38,24.16,24.58,25.04,22.27,24.54,35.27,25.71,24.1,26.87,26.82,32.18,28.71,30.95,29.63,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53 High St near The Grand Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860 Apr-June Bracketed Combined total 9.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860 July-Sept Bracketed Combined total 9.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861 Apr-June Bracketed Combined total 4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861 July-Sept Bracketed Combined total 4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862 Apr-June Bracketed Combined total 8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862 July-Sept Bracketed Combined total 7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863 Apr-June Bracketed Combined total 5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863 July-Sept Bracketed Combined total 8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872 Gauge moved to Church Rd Elevation does not change according to sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown location in Church Rd but road is between 300 and 500yds away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878 Gauge moved to 16 Wandle Road about 100yds SW from High St location at similar elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881 Nov Gauge moved to Katharine St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
