CROYDON-WADDON-NEW-ROAD-(KATHARINE-ST),,,,,,,,
Grid ref,TQ323654 ,Long,-0.09979,Lat,51.37225,Elevation,190,ft
Station no,RR4168,,,,,,,
,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,
January,,,1.07,1.85,1.84,1.81,3.29,
February,,,1.6,4.13,1.54,2.44,0.38,
March,,,0.77,0.93,1.6,1.65,0.97,
April,,,2.83,1.44,1.3,1.88,1.33,
May,,,0.83,1.85,0.64,3.09,4.15,
June,,,2.33,0.78,1.73,1.59,0.81,
July,,,2.08,2.27,1.57,0.27,2.27,
August,,,1.09,0.53,1.14,1.21,0.77,
September,,,2.65,3.43,2.03,4.03,1.72,
October,,,5.62,1.87,1.17,3.36,2.29,
November,,3.47,2.01,3.37,1.4,2.67,3,
December,,2.65,2.02,0.53,1.9,1.07,4.26,
Total,,,24.9,22.98,17.86,25.07,25.24,
,,,,,,,,
8-10 Katharine St The Surveyors Office Assumed to be at Town Hall,,,,,,,,
1887 Jan 1 Gauge moved to 50 Dingwall Rd 0.5 miles NNE,,,,,,,,
