"BACTON",,,,,,,,,,,,
Grid ref,TM052673,Long,1.005712,Lat,52.265560,,,,,,,
Station no,RR4680,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.84,0.62,0.90,1.73,1.69,0.98,,,,,,
February,2.04,0.89,0.56,0.30,2.36,0.96,,,,,,
March,1.18,1.75,1.06,1.83,1.74,2.12,,,,,,
April,1.60,1.79,1.37,2.28,0.74,2.18,,,,,,
May,1.39,2.38,2.47,1.81,2.08,1.06,,,,,,
June,3.29,1.78,3.29,2.78,0.87,3.29,,,,,,
July,1.65,0.70,1.15,4.63,3.25,0.76,,,,,,
August,2.78,0.82,4.16,4.66,1.62,2.30,,,,,,
September,0.50,0.74,0.71,2.50,1.12,2.52,,,,,,
October,1.95,1.97,1.25,4.44,0.98,2.32,,,,,,
November,2.17,1.35,1.53,1.88,1.23,1.65,,,,,,
December,2.41,3.13,1.24,1.16,2.00,0.77,,,,,,
Total,23.80,17.92,19.69,30.00,19.68,20.91,,,,,,
Calc annual,23.80,17.92,19.69,30.00,19.68,20.91,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
