RISHTON (SEWAGE WORKS),,,,,,,,,,,,,,,,,,,,
Grid ref,SD738311,Long,-2.399032,Lat,53.77557,Elevation,275,ft,,,,,,,,,,,,
Station no,2962/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.37,3.96,8.05,2.73,3.47,4.77,5.45,1.88,4.97,2.24,4.77,3.53,4.34,2.92,5.86
February,,,,,,4.08,0.73,2.75,3.37,6.46,4.14,1.91,1.69,3.24,1.74,1.04,3.04,7.45,0.67,3.48
March,,,,,,0.68,4.57,2.49,1.84,1.97,4.7,1.67,1.94,2.55,1.86,1.43,3.15,1.7,1.78,1.03
April,,,,,,1.06,3.42,2.38,4.3,3.73,2.58,3.22,2.92,1.03,2.98,2.84,0.47,1.35,3.05,2.89
May,,,,,,1.14,2.74,1.85,3.09,1.99,1.98,2.93,2.31,2.63,3.8,1.65,2.16,5.47,1.36,1.72
June,,,,,,2.45,2.89,6.13,0.96,3.17,1.39,3.3,2.02,2.63,2.87,2.63,1.81,4.54,3.54,1.34
July,,,,,,4.52,2.94,2.34,2.04,3.77,3.6,2.87,5.2,5.83,1,5.13,5.84,4.08,4.24,9.85
August,,,,,,7.32,0.14,4.26,3.58,7.66,4.98,5.46,4.98,6.02,1.05,10.71,6.67,3.9,0.66,6.09
September,,,,,,7.44,4.23,2.77,1.79,7.07,2.62,4.27,4.69,6.02,3.12,3.55,6.67,4.76,0.44,3.53
October,,,,,,1.21,0.91,2.7,4.7,3.44,1.61,4.07,2.43,8.09,3.38,2.84,6.46,4.48,6.1,3.85
November,,,,,,6.4,6.08,2.49,5.8,6.52,8.65,2.38,5.64,6.47,2.44,2.21,1.97,1.91,5.29,8.32
December,,,,,,4.79,3.68,3.62,7.4,3.03,11.35,4.62,2.14,7.04,6.12,5,6.16,3.98,8.48,5.67
Total,,,,,,44.46,36.29,41.83,41.6,52.28,52.37,42.15,37.84,56.52,32.6,43.8,47.93,47.96,38.53,53.63
