GUERNSEY-ST-PETER-PORT-MIX-(LE-HECHET-NO-2),,,,,,,,,,,,,,,,,,,,
Grid ref,WV324771,Long,-2.55279,Lat,49.44611,Elevation,255,ft,,,,,,,,,,,,
Station no,4438,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,1.72,2.99,4.51,3.16,5.45,3.12,2.16,1.3,4.82,3.09,2.7,,,,,,,
February,,,2.31,4.32,2.89,4.95,1.87,0.86,2.55,3.43,1.74,0.08,2.24,,,,,,,
March,,,2.62,2.39,2.47,1.81,3.03,1,4.24,2.01,1.92,2.65,1.05,,,,,,,
April,,1,4.31,1.25,2.38,1.84,2.82,1.6,1.93,1.8,2.83,1.4,2.13,,,,,,,
May,,1.66,2.32,2.73,1,2.22,3.71,1.67,1.56,2.41,2.21,2.73,0.92,,,,,,,
June,,2.27,2.91,2.58,3.18,0.99,1.12,0.56,3.43,1.76,2.93,2.22,1.77,,,,,,,
July,,1.94,2.82,2.53,3.31,0.34,3.58,0.95,3.08,2.39,3.12,2.21,1.34,,,,,,,
August,,4.59,3.31,2.08,1.12,1.51,2.02,2.19,2.8,2.7,2.85,5.43,1.51,,,,,,,
September,,1.97,3.84,5.73,3.33,4.73,3.3,2.65,1.4,0.92,1.41,1.85,2.23,,,,,,,
October,,3.12,7.19,3.53,2.19,6.21,6.72,2.58,4,8.75,2.21,8.76,7.66,,,,,,,
November,,5.57,7.95,6.52,2.03,4.69,4.59,7.34,6.56,2.34,6.08,3,2.62,,,,,,,
December,,3.79,6.51,1.35,7.37,2.12,6.55,4.2,2.32,3.47,1.96,5.13,,,,,,,,
Total,,,47.81,38,35.78,34.57,44.76,28.72,36.03,33.28,34.08,38.55,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1881 Station started in Apr,,,,,,,,,,,,,,,,,,,,
1892 Dec 1 Gauge moved 3600ft E to Beaulieu,,,,,,,,,,,,,,,,,,,,
1893 Dec Gauge out of order,,,,,,,,,,,,,,,,,,,,
