GUERNSEY-ST-PETER-PORT-MIX-(BEAULIEU),,,,,,,,,,,,,,,,,
Grid ref,WV333776,Long,-2.53998,Lat,49.45046,Elevation,190,ft,,,,,,,,,
Station no,4438,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,2.42,4.47,4.31,1.27,2.91,0.79,5.45,5.22,1.47,2.3,,,,,,,
February,4.2,2.66,0.08,0.43,2.9,2.66,3.24,6.19,1.78,1.57,,,,,,,
March,0.34,2.04,2.99,3.2,5.18,1.67,0.81,1.53,3.62,2.26,,,,,,,
April,0.48,2.62,3.17,0.8,3.94,2.26,3.53,1.3,4.73,3.76,,,,,,,
May,1.26,2.78,0.49,0.17,2.45,4.64,2.61,1.07,1.25,1.8,,,,,,,
June,0.98,1.89,1.06,2.02,3.66,1.61,1.4,2.71,0.55,2.38,,,,,,,
July,4.64,6.58,3.02,1.08,0.47,0.99,1.33,1.27,1.06,2.08,,,,,,,
August,1.49,2.58,2.84,2.15,4.65,3.65,0.4,2.69,1.69,3.81,,,,,,,
September,4.54,4.43,1.39,7.45,4.11,0.84,3.72,1.45,2.21,2.44,,,,,,,
October,4.11,3.01,6.02,7.5,1.17,4.57,2.1,2.96,3.26,,,,,,,,
November,3.19,4.45,6.08,2.1,1.61,5.36,4.65,6.21,1.84,,,,,,,,
December,3.34,2.88,6.29,4.8,5.42,5.32,5.1,5.3,4.51,,,,,,,,
Total,30.99,40.39,37.74,32.97,38.47,34.36,34.34,37.9,27.97,,,,,,,,
,,,,,,,,,,,,,,,,,
Beaulieu Hauteville St Peter Port,,,,,,,,,,,,,,,,,
1893 Jan 1 Gauge moved 3600ft E to Beaulieu Situation and exposure similar,,,,,,,,,,,,,,,,,
1902 Oct Gauge moved 0.5 miles S,,,,,,,,,,,,,,,,,
