GUERNSEY-ST-PETER-PORT-MIX-(ST-MARTINS-RD),,,,,,,,,,,,,,,,,,,,
Grid ref,WV333769,Long,-2.54063,Lat,49.44206,Elevation,295,ft,,,,,,,,,,,,
Station no,4438,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921
January,,3.81,5.19,1.64,5.69,2.13,1.23,2.23,5.64,2.04,3.46,5.98,1.63,4.71,1.85,1.9,1.64,6.82,4.8,3.36
February,,1.66,4.97,1.79,3.87,1.91,2.23,1.1,5,1.69,2.86,1.2,5.34,5.21,6.57,2.11,1.33,5.4,1.06,0.37
March,,3.66,1.57,5.71,2.08,0.75,3.59,5.19,2,2.67,6.17,3.64,5.97,1.05,3.67,2.95,1.96,5.51,2.88,1.81
April,,2.79,1.35,2.11,1.53,3.15,2.17,2.16,1.39,2.79,0.22,2.69,1.41,2.08,0.73,1.85,2.03,2.31,3.13,1.14
May,,1.59,2.42,0.16,2.48,3.5,1.4,0.75,2.33,0.6,1.01,1.83,1.09,1.89,1.08,2.8,2.3,1.08,1.91,1.68
June,,3.12,1.38,3.9,1.4,1.77,0.62,3.81,1.96,4.02,3.9,0.67,0.97,0.97,1.09,1.22,0.43,0.75,2.31,
July,,2.22,2.38,0.54,1,1.62,1.54,1.49,2.83,0.88,3.67,3,2.3,4.73,0.93,1.49,4.22,1.79,3.33,
August,,5.43,2.2,2.13,0.73,2.21,1.9,1.03,2.33,0.59,8.02,1.31,3.41,1.37,2.85,5.41,2.2,3.4,1.24,
September,,3.95,2.79,3.5,1.43,1.41,3.28,1.87,0.36,1.35,3,1.69,4.1,3.33,3.13,0.88,4.63,3.41,4.73,
October,,6.47,5.94,3.01,4.34,7.92,2.41,7.58,7.55,5.42,5.41,5.49,3.72,4.95,4.15,6.28,3.92,2.51,2.35,
November,3.66,2.74,2.75,7.87,5.69,3.79,1.77,2.21,10.75,6.73,3.79,4.92,3.95,4.16,4.6,3.01,3.13,6.71,1.94,
December,3.91,3.44,4.78,1.76,3.19,3.84,4.08,4.58,4.1,8.33,5,3.72,8.78,8.94,6.15,1.93,4.41,5.88,4.48,
Total,,40.88,37.72,34.12,33.43,34,26.22,34,46.24,37.11,46.51,36.14,42.67,43.39,36.8,31.83,32.2,45.57,34.16,
,,,,,,,,,,,,,,,,,,,,
1911 Sept 3 Inspection Excellent copper Snowdon in perfect condition in walled garden Meteorological instruments all round but not unduly close No fault to be found with exposure.,,,,,,,,,,,,,,,,,,,,
1921 June 21 Gauge moved to Met Office station in Grange Rd,,,,,,,,,,,,,,,,,,,,
