GUERNSEY-ST-PETER-PORT-MIX-(GRANGE-RD),,,,,,,,,,,,,,,,,,,,
Grid ref,WV331783,Long,-2.54244,Lat,49.45647,Elevation,172,ft,,,,,,,,,,,,
Station no,4438,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,4.78,2.3,4.28,6.25,5.66,4.59,6.48,2.52,5.98,3.99,2.48,3.22,3.57,1,6.91,5.25,6.59,6.91,3.18
February,,2.25,6.47,1.17,3.93,2.9,2.05,3.9,1.79,1.67,3.47,0.87,3.72,0.09,5.61,4.2,6.47,1.65,2.07,3.64
March,,3.79,2.39,2.85,0.67,1.19,4.07,3.53,0.06,2.32,2.86,2.44,2.46,4.37,1.54,3.15,5.1,0.48,2.24,3.51
April,,3.94,2.73,3.33,2.85,4.58,2.45,2.85,2.43,3.83,2.07,2.94,1.32,2.27,3.49,1.73,2.84,0.04,1.89,1.41
May,,0.93,4.38,2.88,4.8,2.81,0.81,3,2.53,2.07,2.51,2.63,1.45,1.42,1.81,0.72,4.04,1.07,1.09,1.2
June,,1.83,0.5,1.13,0,3.97,3.12,3.03,2.39,1.1,1.39,1.33,1.64,1.7,3.64,1.77,0.62,0.29,2.18,
July,0.63,3.13,1.87,2.77,2.52,1.2,3.06,0.61,1.97,2.27,3.28,2.57,1.87,0.08,0.91,5.45,1.78,2.16,3.18,
August,1.54,2.47,2.15,2.85,3.04,1.41,3.03,1.89,1.65,3.42,6.85,0.41,1.51,3.14,1.44,0.67,0.43,2.28,1.65,
September,1.04,2.73,3.15,4.9,2.88,0.47,7.18,1.56,1.81,3.57,2.41,4.59,3.63,3.24,3.2,4.3,3.33,1.6,1.72,
October,0.66,2.4,7.68,5.28,3.42,3.57,1.59,9.21,5.85,3.58,0.58,6.33,2.83,3.31,4.46,2.59,4.2,3.88,6.63,
November,2.44,2.55,5.34,1.81,4.53,8.63,4.42,4.57,9.33,10.32,4.61,2.6,3.22,5.32,7.93,5.67,2.82,5.36,5.06,
December,2.63,5.43,3.67,4.5,6.33,1.61,3.9,4.42,7.56,4.92,1.59,1.72,2.34,9.91,8.29,2.4,6.45,5.48,2.99,
Total,,36.23,42.63,37.75,41.22,38,40.27,45.05,39.89,45.05,35.61,30.91,29.21,38.42,43.32,39.56,43.33,30.88,37.61,
,,,,,,,,,,,,,,,,,,,,
1921 June 21 Gauge moved to Met Office station behind Lukis House,,,,,,,,,,,,,,,,,,,,
1921 Aug 21 Inspection In square enclosure in sheltered garden Excellent site,,,,,,,,,,,,,,,,,,,,
Station moved to airport,,,,,,,,,,,,,,,,,,,,
