BOWDON-CHESHIRE,,,,,,,,,,
Grid ref,SJ761869,Long,-2.3607329,Lat,53.378407,Elevation,175,ft.,,
Station no,RR4915,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,2.7,3.2,0.8,2.5,,,
February,,,,0.6,2,0.8,2.2,,,
March,,,,1.6,1,1.8,0.17,,,
April,,,,1.7,0.6,,2.58,,,
May,,,,1.4,2.1,,2.28,,,
June,,,,4,1.5,,2.34,,,
July,,,,5.6,,,3.18,,,
August,,,,2.9,,,3.1,,,
September,,,,2.5,,,,,,
October,,,4.1,3.7,2,4,,,,
November,,,5.8,2.2,3.3,0.5,,,,
December,,,4,0.6,4.6,0.9,,,,
Total,,,,29.5,,,,,,
,,,,,,,,,,
NGR is centre of Bowdon. Altitude from OS maps.,,,,,,,,,,
"No info on 1850s record to identify location and cannot find location of observer, A Nield, in Bowdon but plenty of reference confirm he lived in Bowdon",,,,,,,,,,
