ROSNEATH CASTLE GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 27010 82040,Long,-4.775611,Lat,56.000013,Elevation,33,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,5.39,6.42,6.28,8.55,7.24,12.71,2.53,7.38,5.73,8.76,6.92,8.89,3.29,5.72,8.63,8.11,4.45,2.72,,8.75,,,,,,,,
February,,,,5.63,1.4,4.67,7.16,4.86,5.49,2.67,0.27,5.29,0.03,5.42,1.03,8.09,3.28,6.27,3.58,7.15,2.03,,2.52,,,,,,,,
March,,,,2.48,1.41,3.54,5.53,5.17,4.99,1.92,3.46,1.38,2.56,2.84,3.2,2.86,3.48,1.66,6.23,4.09,3.88,,4.15,,,,,,,,
April,,,3.56,4.8,2.9,6.74,2.83,4.05,2.64,1.65,2.41,2.19,4.29,3.11,3.7,3.76,1.54,2.64,0.75,2.77,2.5,,2.51,,,,,,,,
May,,,4.39,2.16,5.23,7.98,4.57,3.67,2.03,3.86,3.01,5.22,2.73,3.35,4.04,0.67,2.35,1.73,4.16,1.75,0.77,,,,,,,,,,
June,,,2.56,1.54,3.8,1.36,3.62,5.38,5.74,3.62,3.6,6.03,1.33,2.66,2.54,3.28,1.75,3.52,6.08,2.64,0.7,,,,,,,,,,
July,,,4,3.86,5.08,2.61,3.09,7.31,4.31,6.33,3.53,3.5,3.22,4.25,2.96,2.21,5.62,4.57,3.95,5.21,3.47,,,,,,,,,,
August,,,3.21,6.86,4.41,4.37,5.67,6.14,5.32,7.06,6.89,1.8,2.71,4.48,4.28,2.85,3.33,4.12,2.74,2.32,2.73,,,,,,,,,,
September,,,3.19,8.29,6.1,4.61,4.18,8.37,5.04,1.74,4.58,1.38,4.99,0.65,6.17,7.19,3.91,3.09,4.89,3.81,4.47,,,,,,,,,,
October,,,2.8,7.06,4.5,5.26,7.2,6.43,9.22,7.24,7.62,4.11,7.15,2.59,8.58,11.89,6.1,2.6,9.28,2.95,6.48,,,,,,,,,,
November,,,3.85,4.56,4.21,1.58,7.8,6.05,8.76,7.61,6.8,7.77,5.5,2.98,2.64,5.01,4.43,1.07,10.5,10.15,6.88,5.48,,,,,,,,,
December,,,4.55,5.21,8.39,4.32,3.18,2.08,6.3,13.58,5.25,5.32,9.03,1.43,8.23,3.97,9.41,3.57,6.27,3.56,6.76,4.26,,,,,,,,,
Total,,,,57.84,53.85,53.32,63.38,66.75,72.55,59.81,54.8,49.72,52.3,40.68,56.26,55.07,50.92,43.47,66.54,50.85,43.39,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 NP G leaking Ja-Oct Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
