HUNTINGDON-BRAMPTON-GRANGE,,,,,,,,,,
Grid ref,TL208709,Long,-0.22898609,Lat,52.322913,Elevation,46,ft,,
Station no,RR6609,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.69,1.02,2.47,1.25,1.56,,
February,,,1.48,0.62,1.34,2.15,4.08,0.88,,
March,,,2.22,2.46,3.29,1.25,4.12,1.54,,
April,,,0.11,1.96,0.7,0.79,1.27,1.79,,
May,,,1.66,2.2,0.68,1.97,2.25,1.04,,
June,,,4.62,2.79,2.56,1.14,1.54,3.54,,
July,,,3.06,0.73,1.78,3.61,1.81,2.34,,
August,,,7.18,1.19,1.24,2.44,3.48,5,,
September,,,1.6,1.95,0.88,0.81,0.77,1.98,,
October,,,2.05,3.09,3.41,0.86,1.47,3.6,,
November,,,1.64,1.46,2.39,2.59,3.25,0.99,,
December,,,2.4,0.55,5.44,4.19,2.78,0.19,,
Total,,,,21.69,24.73,24.27,28.07,24.45,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1912 Jan estimated,,,,,,,,,,
