"CAMBRIDGE HERSCHEL HOUSE",,,,,,,,,,,,
Grid ref,TL438583,Long,0.102890,Lat,52.204173,,,,,,,
Station no,RR4827,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.38,1.33,0.82,0.60,,
February,,,,,,,1.74,1.20,0.91,0.17,,
March,,,,,,,1.63,0.87,1.83,2.59,,
April,,,,,,,0.91,2.71,2.39,1.36,,
May,,,,,,,1.33,3.07,1.36,1.17,,
June,,,,,,,3.58,1.67,1.34,2.86,,
July,,,,,,,0.51,2.35,2.71,2.22,,
August,,,,,,,0.63,1.68,2.15,1.53,,
September,,,,,,,0.43,0.60,1.56,1.61,,
October,,,,,,,2.80,2.22,1.10,3.21,,
November,,,,,,,3.43,2.48,0.64,0.46,,
December,,,,,,,2.13,2.74,1.31,2.34,,
Total,,,,,,,21.50,22.92,18.12,20.12,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,21.50,22.92,18.12,20.12,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
