KINGS HEATH CAMBRIDGE ROAD,,,,,,,,,,,,
Grid ref,SP080821,Long,-1.883749,Lat,52.436816,,,,,,,
Station no,RR7813,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.45,1.11,0.94,1.85,2.85,,,,,,,
February,4.12,1.42,1.23,1.69,3.70,,,,,,,
March,0.73,1.45,1.43,4.53,1.45,,,,,,,
April,0.98,1.69,2.54,1.31,1.19,,,,,,,
May,1.99,1.53,2.51,2.37,3.21,,,,,,,
June,2.70,2.55,2.35,1.69,0.36,,,,,,,
July,1.36,2.54,1.63,2.51,2.62,,,,,,,
August,3.28,2.29,5.35,5.32,1.79,,,,,,,
September,0.77,1.01,1.60,2.52,1.95,,,,,,,
October,2.95,1.56,2.13,6.30,0.59,,,,,,,
November,2.48,1.25,1.78,1.77,1.65,,,,,,,
December,4.65,4.19,1.52,2.09,2.38,,,,,,,
Total,29.46,22.59,25.01,33.95,23.74,,,,,,,
Calc annual,29.46,22.59,25.01,33.95,23.74,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
