BOSTON - HAVEN BANK,,,,,,,,
Grid ref,TF324444,Long,-0.029,Lat,52.981,Elevation,11,ft
Station no,2538/9,,,,,,,
,,,,,,,,
,1938,1939,1940,1941,1942,1943,,
January,2.55,4.15,1.84,2.76,2.50,4.55,,
February,0.90,0.45,2.35,3.11,1.32,0.40,,
March,0.26,1.93,1.61,3.37,1.53,0.59,,
April,0.19,1.64,1.21,0.97,0.59,0.95,,
May,2.14,0.67,1.24,1.97,2.52,2.57,,
June,0.91,2.21,0.81,0.47,1.64,1.46,,
July,2.25,1.97,5.58,4.65,2.53,1.16,,
August,2.16,1.67,0.51,4.52,2.53,2.08,,
September,2.40,1.24,0.53,0.85,1.34,2.02,,
October,1.88,3.90,2.75,3.12,2.72,0.84,,
November,1.75,3.82,4.40,2.94,3.04,1.97,,
December,4.09,2.08,1.74,0.35,1.73,0.91,,
Total,21.48,25.73,24.57,29.08,23.99,19.50,,
,,,,,,,,
TYRain_1931-1940_15_pt1/108,,,,,,,,
TYRain_1941-1950_17_pt1/191,,,,,,,,
,,,,,,,,
# Approximate grid reference based on church directions. (Station directions seem to be wrong ?),,,,,,,,
