"LOCHAY POWER STATION",,,,,,,,,,,,
Grid ref,NN546349,Long,-4.362695,Lat,56.483687,,,,,,,
Station no,5556/4/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.57,5.42,10.61,5.26,2.62,4.14,,
February,,,,,3.36,2.29,5.79,2.91,2.95,5.31,,
March,,,,,1.28,3.35,5.74,1.39,4.44,3.07,,
April,,,,,3.18,1.93,2.26,2.79,4.70,6.95,,
May,,,,,3.54,4.09,2.62,4.28,1.99,3.88,,
June,,,,,2.46,3.81,3.46,3.47,2.90,2.72,,
July,,,,,0.73,5.11,4.13,4.26,4.48,3.46,,
August,,,,,1.29,5.01,5.77,5.96,2.68,4.74,,
September,,,,,4.81,7.05,3.40,6.62,1.13,3.54,,
October,,,,,4.17,4.62,6.79,6.04,6.86,4.56,,
November,,,,,3.24,3.12,2.40,1.34,8.59,6.60,,
December,,,,,11.37,10.66,10.55,9.57,11.67,9.27,,
Total,,,,,43.00,56.46,63.52,53.89,55.01,58.24,,
Calc annual,0.00,0.00,0.00,0.00,43.00,56.46,63.52,53.89,55.01,58.24,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
