LONGRAIGUE FOULKES MILL NEW ROSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IS7178626702,Long,-6.946222,Lat,52.387473,Elevation,210,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,7.47,4.64,4.89,6.04,7.1,2.65,7.71,2.1,5.96,2.49,4.3,1.35,2.45,4.1,5.93,5.09,4.09,2.89,4.07,3.94,2.4,5.33,2.04,1.33,4.25,5.88,4.41,1.62,3.47,4.27,5.7,3.85,3.87,1.89,5.75,4.19,2.19,4.67,,2.96,1.87,,,,,2.08,2.55,2.23,3.13,4.23,4.71,4.54,3.45,4.34,1.53,8.01,5.23,9.31,3.62,5.65,2.45,6.64,2.71,4.46,3.49,3.37,0.73,7.84,6.9,4.31,6.02,6.47
February,,,,,,,,,,2.42,2.97,3.43,6.27,1.66,2.91,3.34,6.16,1.58,3.25,5.61,4.09,4.68,4.94,6.51,7.21,5.87,3.15,1.1,0.85,2.21,1.91,0.4,5.16,3.11,1.64,1.42,2.63,2.6,1.53,4.31,5.4,1.51,3.55,2.73,5.66,1.05,2.88,,1.67,,,,,,5.22,5,5.2,1.16,4.26,3.85,2.08,1.76,3.04,7.1,1.18,4.67,3.81,2.85,3,8.86,1.33,2.6,0.33,4.12,0.28,3.23,3.94,5.42,1.9,4.36,6.53
March,,,,,,,,,,5.06,4.27,2.32,5.85,4.51,2.22,1.56,2.82,3.17,1.51,1.99,3.95,3.11,1.45,1.99,4.14,3.15,5.37,1.55,3.41,1.11,3.39,0.99,1.36,1.11,2.33,3.28,2.64,5.48,0.58,1.64,1.07,2.21,2,6.83,4.06,4.59,2.28,,3.76,3.76,,,,,4.08,1.5,2.18,3.01,2.22,3.08,4.72,3.58,1.82,2.98,1.14,0.77,1.17,4.48,6.55,1.44,5.98,4.43,1.84,3.8,3.36,1.79,3.74,4.58,1.08,2.21,2.92
April,,,,,,,,,,2.43,0.72,3.78,3.5,1.23,2.79,1.22,3.35,5.18,4.33,2.38,3.14,2.03,4.44,2.84,1.55,4.76,2.24,1.81,1.3,2.32,1.76,2.47,1.4,0.53,3.93,2.55,0.55,4.79,5.36,2.91,2.15,2.27,3.15,1.46,1.23,3.84,1.19,,2.62,5.39,,,,,1.48,1.46,2.64,1.81,1.68,1.18,4.53,0.81,3.1,4.11,3.16,4.01,2.76,1.55,2.99,1.15,2.15,2.74,2.22,1.76,3.32,3.2,1.56,3.47,0.08,1.9,3.3
May,,,,,,,,,,4.75,3.62,0.65,1.69,1.53,0.8,2.98,0.72,2.42,3.97,2.02,1.46,1.51,3.28,2.18,2.06,3.08,3.87,0.64,2.87,3.69,3,3.76,3.44,0.91,2.13,0.56,0.03,1.59,2.76,3.53,3.15,1.37,1.26,2.56,2.43,1.63,3.73,,2.16,2.22,,,,,1.59,2.41,4.25,3.07,2.31,3.16,3.01,2.34,1.62,1.24,3.3,4.19,2.05,2,2.69,4.65,3.15,5.05,4.82,3.42,3.44,1.26,1.13,1.54,3.99,1.01,1.42
June,,,,,,,,,,-999,0.82,2.3,3.65,1.19,0.8,3.48,1.34,3.16,5.16,6.66,1.71,5.12,3.68,2.57,0.4,1.22,1.64,0.65,5.27,1.06,3.33,2.82,2.33,2,2.5,1.72,2.39,3.33,3.29,2.08,4.32,2.88,4.78,5.66,2.77,1.61,1.58,,1.44,2.11,,,,,1.36,1.73,3.25,1.7,2.64,1.96,1.6,0.07,1.65,0.57,4.03,0.39,2.4,4.62,6.89,2.48,2.14,2.93,1.69,2.76,1.59,6.84,3.79,2.16,4.34,2.09,1.33
July,,,,,,,,,,-999,0.68,4.93,1.77,3.15,2.02,4.31,2.32,2.8,0.91,3.12,4.93,2.65,4.32,5.02,3.7,1.65,3.75,2.65,5.41,1.99,2.41,1.33,3.81,1.98,4.73,4.7,5.37,2.39,2.26,3.2,3.49,0.79,3.4,4.23,3.12,1.97,1.32,,3.69,3.6,,,,,3.99,5.84,1.51,2.1,3.48,1.11,5.04,3.4,3.82,3.29,4.69,2.33,3.16,4.04,1.84,3.15,2.84,3.75,4.06,2.4,0.83,1.07,6.4,3.78,6.38,6.03,2.28
August,,,,,,,,,6.36,1.61,1.88,3.26,6.36,5.9,3.08,3.09,4.79,5.8,3.19,4.42,1.58,5.29,3.55,4.07,0.49,2.99,2.78,2.48,3.28,3.89,2.2,6.74,5.21,4.64,3.47,5.23,1.22,4.65,4.2,2.17,4.21,3.83,2.35,4.62,4.18,5.29,2.86,,3.76,,,,,,4.98,2.44,1.65,7.89,2.51,3.89,3.31,5.69,5.34,5.61,3.17,3.18,3.8,6.02,5.51,3.04,5.53,3.14,2.5,1.1,3.78,1.12,1.13,1.42,2.48,1.92,0.1
September,,,,,,,,,6.47,5.91,2.34,3.95,4.62,4.05,3.37,5.6,5.49,3.65,2.1,5.21,3.42,2.94,4.62,4.8,2.26,5.14,4.91,1.46,0.8,1.24,1.86,3.81,3.72,1.2,0.79,1.89,5.78,3.19,2.61,1.5,1.23,5.25,4.17,3.41,4.64,2.05,0.96,,3.21,,,,,,1.66,1.65,2.12,1.91,8.5,2.33,2.12,1.04,3.03,3.3,7.42,2.47,1.62,3.81,1.28,1.59,4.66,3.73,2.29,1.83,6.43,7,3.79,4.18,3.37,3.39,1.15
October,,,,,,,,,3.14,1.47,5.72,4.55,4.88,4.3,6.44,10.53,5.79,5.94,3.1,1.83,5.87,2.45,4.77,3.2,1.43,4.83,5.59,1.72,2.52,5.75,1.96,6.96,3.2,2.14,4.75,2.38,3.34,3.59,5.1,2.67,4.37,4.53,2.96,5.01,2.21,0.98,5.98,,2.14,,,,,,2.69,6.41,8.1,3.07,4.65,0.8,7.08,3.05,1.08,4.54,4.18,5.36,3.39,3.79,8.38,4.23,6.33,1.67,5.42,5.86,4.08,3.39,1.61,2.79,6.24,3.24,8.63
